Water Depth [ft],Factor
12.5656,0.9655
12.5984,0.9659
12.6312,0.9662
12.664,0.9666
12.6969,0.967
12.7297,0.9674
12.7625,0.9677
12.7953,0.9681
12.8281,0.9685
12.8609,0.9689
12.8937,0.9692
12.9265,0.9696
12.9593,0.97
12.9921,0.9704
13.0249,0.9707
13.0577,0.9711
13.0906,0.9715
13.1234,0.9719
13.1562,0.972
13.189,0.9721
13.2218,0.9721
13.2546,0.9722
13.2874,0.9723
13.3202,0.9724
13.353,0.9725
13.3858,0.9726
13.4186,0.9727
13.4514,0.9728
13.4843,0.9729
13.5171,0.973
13.5499,0.9731
13.5827,0.9732
13.6155,0.9733
13.6483,0.9734
13.6811,0.9735
13.7139,0.9736
13.7467,0.9736
13.7795,0.9737
13.8123,0.9738
13.8451,0.9739
13.878,0.974
13.9108,0.9741
13.9436,0.9742
13.9764,0.9743
14.0092,0.9744
14.042,0.9745
14.0748,0.9746
14.1076,0.9747
14.1404,0.9748
14.1732,0.9749
14.206,0.975
14.2388,0.9751
14.2717,0.9751
14.3045,0.9752
14.3373,0.9753
14.3701,0.9754
14.4029,0.9755
14.4357,0.9756
14.4685,0.9757
14.5013,0.9758
14.5341,0.9759
14.5669,0.976
14.5997,0.9761
14.6325,0.9762
14.6654,0.9763
14.6982,0.9764
14.731,0.9765
14.7638,0.9766
14.7966,0.9766
14.8294,0.9767
14.8622,0.9768
14.895,0.9769
14.9278,0.977
14.9606,0.9771
14.9934,0.9772
15.0262,0.9773
15.0591,0.9774
15.0919,0.9775
15.1247,0.9776
15.1575,0.9777
15.1903,0.9778
15.2231,0.9779
15.2559,0.978
15.2887,0.9781
15.3215,0.9781
15.3543,0.9782
15.3871,0.9783
15.4199,0.9784
15.4528,0.9785
15.4856,0.9786
15.5184,0.9787
15.5512,0.9788
15.584,0.9789
15.6168,0.979
15.6496,0.9791
15.6824,0.9792
15.7152,0.9793
15.748,0.9794
15.7808,0.9795
15.8136,0.9796
15.8465,0.9796
15.8793,0.9797
15.9121,0.9798
15.9449,0.9799
15.9777,0.98
16.0105,0.9801
16.0433,0.9802
16.0761,0.9803
16.1089,0.9804
16.1417,0.9805
16.1745,0.9806
16.2073,0.9807
16.2402,0.9808
16.273,0.9809
16.3058,0.981
16.3386,0.9811
16.3714,0.9811
16.4042,0.9812
16.437,0.9814
16.4698,0.9816
16.5026,0.9818
16.5354,0.982
16.5682,0.9822
16.601,0.9824
16.6339,0.9826
16.6667,0.9827
16.6995,0.9829
16.7323,0.9831
16.7651,0.9833
