Water Depth [ft],Factor
8.9895,0.8071
9.0223,0.8079
9.0551,0.8086
9.0879,0.8094
9.1207,0.8101
9.1535,0.8109
9.1864,0.8116
9.2192,0.8123
9.252,0.8131
9.2848,0.8138
9.3176,0.8146
9.3504,0.8153
9.3832,0.8161
9.416,0.8168
9.4488,0.8175
9.4816,0.8183
9.5144,0.819
9.5472,0.8198
9.5801,0.8205
9.6129,0.8213
9.6457,0.822
9.6785,0.8228
9.7113,0.8235
9.7441,0.8242
9.7769,0.825
9.8097,0.8257
9.8425,0.8265
9.8753,0.8272
9.9081,0.828
9.9409,0.8287
9.9738,0.8294
10.0066,0.8302
10.0394,0.8309
10.0722,0.8317
10.105,0.8324
10.1378,0.8331
10.1706,0.8339
10.2034,0.8346
10.2362,0.8354
10.269,0.8361
10.3018,0.8368
10.3346,0.8376
10.3675,0.8383
10.4003,0.839
10.4331,0.8398
10.4659,0.8405
10.4987,0.8412
10.5315,0.842
10.5643,0.8427
10.5971,0.8435
10.6299,0.8442
10.6627,0.8449
10.6955,0.8457
10.7283,0.8464
10.7612,0.8471
10.794,0.8479
10.8268,0.8486
10.8596,0.8494
10.8924,0.8501
10.9252,0.8508
10.958,0.8516
10.9908,0.8523
11.0236,0.853
11.0564,0.8538
11.0892,0.8545
11.122,0.8553
11.1549,0.856
11.1877,0.8567
11.2205,0.8575
11.2533,0.8582
11.2861,0.8589
11.3189,0.8597
11.3517,0.8604
11.3845,0.8612
11.4173,0.8619
11.4501,0.8626
11.4829,0.8634
11.5157,0.8641
11.5486,0.8648
11.5814,0.8656
11.6142,0.8663
11.647,0.8671
11.6798,0.8678
11.7126,0.8685
11.7454,0.8693
11.7782,0.87
11.811,0.8707
11.8438,0.8715
11.8766,0.8722
11.9094,0.873
11.9423,0.8737
11.9751,0.8744
12.0079,0.8752
12.0407,0.8759
12.0735,0.8766
12.1063,0.8774
12.1391,0.8781
12.1719,0.8788
12.2047,0.8796
12.2375,0.8803
12.2703,0.8811
12.3031,0.8818
12.336,0.8825
12.3688,0.8833
12.4016,0.884
12.4344,0.8847
12.4672,0.8855
12.5,0.8862
12.5328,0.887
12.5656,0.8877
12.5984,0.8884
12.6312,0.8892
12.664,0.8899
12.6969,0.8906
12.7297,0.8914
12.7625,0.8921
12.7953,0.8929
12.8281,0.8936
12.8609,0.8943
12.8937,0.8951
12.9265,0.8958
12.9593,0.8965
12.9921,0.8973
13.0249,0.898
13.0577,0.8988
13.0906,0.8995
13.1234,0.9002
13.1562,0.901
13.189,0.9017
13.2218,0.9024
13.2546,0.9032
13.2874,0.9039
13.3202,0.9046
13.353,0.9053
13.3858,0.9061
13.4186,0.9068
13.4514,0.9075
13.4843,0.9082
13.5171,0.9089
13.5499,0.9096
13.5827,0.9103
13.6155,0.911
13.6483,0.9118
13.6811,0.9125
13.7139,0.9132
13.7467,0.9139
13.7795,0.9146
13.8123,0.915
13.8451,0.9155
13.878,0.9159
13.9108,0.9163
13.9436,0.9168
13.9764,0.9172
14.0092,0.9176
14.042,0.9181
14.0748,0.9185
14.1076,0.9189
14.1404,0.9194
14.1732,0.9198
14.206,0.9202
14.2388,0.9206
14.2717,0.9211
14.3045,0.9215
14.3373,0.9219
14.3701,0.9224
14.4029,0.9228
14.4357,0.9232
14.4685,0.9237
14.5013,0.9241
14.5341,0.9245
14.5669,0.925
14.5997,0.9254
14.6325,0.9258
14.6654,0.9262
14.6982,0.9267
14.731,0.9271
14.7638,0.9275
14.7966,0.928
14.8294,0.9284
14.8622,0.9288
14.895,0.9293
14.9278,0.9297
14.9606,0.9301
14.9934,0.9306
15.0262,0.931
15.0591,0.9314
15.0919,0.9319
15.1247,0.9323
15.1575,0.9327
15.1903,0.9331
15.2231,0.9336
15.2559,0.934
15.2887,0.9344
15.3215,0.9349
15.3543,0.9353
15.3871,0.9357
15.4199,0.9362
15.4528,0.9366
15.4856,0.937
15.5184,0.9375
15.5512,0.9379
15.584,0.9383
15.6168,0.9387
15.6496,0.9392
15.6824,0.9396
15.7152,0.94
15.748,0.9405
15.7808,0.9409
15.8136,0.9413
15.8465,0.9418
15.8793,0.9422
15.9121,0.9426
15.9449,0.9431
15.9777,0.9435
16.0105,0.9439
16.0433,0.9444
16.0761,0.9448
16.1089,0.9452
16.1417,0.9456
16.1745,0.9461
16.2073,0.9465
16.2402,0.9469
16.273,0.9474
16.3058,0.9478
16.3386,0.9482
16.3714,0.9487
16.4042,0.9491
16.437,0.9495
16.4698,0.95
16.5026,0.9504
16.5354,0.9508
16.5682,0.9512
16.601,0.9517
16.6339,0.9521
16.6667,0.9525
16.6995,0.953
16.7323,0.9534
16.7651,0.9538
16.7979,0.9543
16.8307,0.9547
16.8635,0.9551
16.8963,0.9556
16.9291,0.956
16.9619,0.9564
16.9948,0.9569
17.0276,0.9573
17.0604,0.9577
17.0932,0.9581
17.126,0.9586
17.1588,0.959
17.1916,0.9594
17.2244,0.9599
17.2572,0.9603
17.29,0.9607
17.3228,0.9612
17.3556,0.9616
17.3885,0.962
17.4213,0.9625
17.4541,0.9629
17.4869,0.9633
17.5197,0.9638
17.5525,0.9642
17.5853,0.9646
17.6181,0.965
17.6509,0.9655
17.6837,0.9659
17.7165,0.9663
17.7493,0.9668
17.7822,0.9672
17.815,0.9676
17.8478,0.9681
17.8806,0.9685
17.9134,0.9689
17.9462,0.9694
17.979,0.9698
18.0118,0.9702
18.0446,0.9706
18.0774,0.9711
18.1102,0.9715
18.143,0.9719
18.1759,0.9724
18.2087,0.9728
18.2415,0.9732
18.2743,0.9737
18.3071,0.9741
18.3399,0.9745
18.3727,0.975
18.4055,0.9754
18.4383,0.9758
18.4711,0.9763
18.5039,0.9767
18.5367,0.9771
18.5696,0.9775
18.6024,0.978
18.6352,0.9784
18.668,0.9788
18.7008,0.9793
18.7336,0.9797
18.7664,0.9801
18.7992,0.9806
18.832,0.981
18.8648,0.9814
18.8976,0.9819
18.9304,0.9823
18.9633,0.9827
18.9961,0.9831
19.0289,0.9836
19.0617,0.984
19.0945,0.9844
19.1273,0.9849
19.1601,0.9853
19.1929,0.9857
19.2257,0.9862
19.2585,0.9866
19.2913,0.987
19.3241,0.9875
19.357,0.9879
19.3898,0.9883
19.4226,0.9888
19.4554,0.9892
19.4882,0.9896
19.521,0.99
19.5538,0.9905
19.5866,0.9909
19.6194,0.9913
19.6522,0.9918
19.685,0.9922
19.7178,0.9926
19.7507,0.9931
19.7835,0.9935
19.8163,0.9939
19.8491,0.9944
19.8819,0.9947
19.9147,0.9951
19.9475,0.9955
19.9803,0.9959
20.0131,0.9962
20.0459,0.9966
20.0787,0.997
20.1115,0.9974
20.1444,0.9977
20.1772,0.9981
20.21,0.9985
20.2428,0.9989
20.2756,0.9992
20.3084,0.9996
20.3412,1
20.374,1
20.4068,1
20.4396,1
20.4724,1
20.5052,1
20.5381,1
20.5709,1
20.6037,1
20.6365,1
20.6693,1
20.7021,1
20.7349,1
20.7677,1
20.8005,1
20.8333,1
20.8661,1
20.899,1
20.9318,1
20.9646,1
20.9974,1
21.0302,1
21.063,1
21.0958,1
21.1286,1
21.1614,1
21.1942,1
21.227,1
21.2598,1
21.2927,1
21.3255,1
21.3583,1
21.3911,1
21.4239,1
21.4567,1
21.4895,1
21.5223,1
21.5551,1
21.5879,1
21.6207,1
21.6535,1
21.6864,1
21.7192,1
21.752,1
21.7848,1
21.8176,1
21.8504,1
21.8832,1
21.916,1
21.9488,1
21.9816,1
22.0144,1
22.0472,1
22.0801,1
22.1129,1
22.1457,1
22.1785,1
22.2113,1
22.2441,1
22.2769,1
22.3097,1
22.3425,1
22.3753,1
22.4081,1
22.4409,1
22.4738,1
22.5066,1
22.5394,1
22.5722,1
22.605,1
22.6378,1
22.6706,1
22.7034,1
22.7362,1
22.769,1
22.8018,1
22.8346,1
22.8675,1
22.9003,1
22.9331,1
22.9659,1
22.9987,1
23.0315,1
23.0643,1
23.0971,1
23.1299,1
23.1627,1
23.1955,1
23.2283,1
23.2612,1
23.294,1
23.3268,1
23.3596,1
23.3924,1
23.4252,1
23.458,1
23.4908,1
23.5236,1
23.5564,1
23.5892,1
23.622,1
23.6549,1
23.6877,1
23.7205,1
23.7533,1
23.7861,1
23.8189,1
23.8517,1
23.8845,1
23.9173,1
23.9501,1
23.9829,1
24.0157,1
24.0486,1
24.0814,1
24.1142,1
24.147,1
24.1798,1
24.2126,1
24.2454,1
24.2782,1
24.311,1
24.3438,1
24.3766,1
24.4094,1
24.4423,1
24.4751,1
24.5079,1
24.5407,1
24.5735,1
24.6063,1
24.6391,1
24.6719,1
24.7047,1
24.7375,1
24.7703,1
24.8031,1
24.836,1
24.8688,1
24.9016,1
24.9344,1
24.9672,1
25,1
25.0328,1
25.0656,1
25.0984,1
25.1312,1
25.164,1
25.1969,1
25.2297,1
25.2625,1
25.2953,1
25.3281,1
25.3609,1
25.3937,1
25.4265,1
25.4593,1
25.4921,1
25.5249,1
25.5577,1
25.5906,1
25.6234,1
25.6562,1
25.689,1
25.7218,1
25.7546,1
25.7874,1
25.8202,1
25.853,1
25.8858,1
25.9186,1
25.9514,1
25.9843,1
26.0171,1
26.0499,1
26.0827,1
26.1155,1
26.1483,1
26.1811,1
26.2139,1
26.2467,1
26.2795,1
26.3123,1
26.3451,1
26.378,1
26.4108,1
26.4436,1
26.4764,1
26.5092,1
26.542,1
26.5748,1
26.6076,1
26.6404,1
26.6732,1
26.706,1
26.7388,1
26.7717,1
26.8045,1
26.8373,1
26.8701,1
26.9029,1
26.9357,1
26.9685,1
27.0013,1
27.0341,1
27.0669,1
27.0997,1
27.1325,1
27.1654,1
27.1982,1
27.231,1
27.2638,1
27.2966,1
27.3294,1
27.3622,1
27.395,1
27.4278,1
27.4606,1
27.4934,1
27.5262,1
27.5591,1
27.5919,1
27.6247,1
27.6575,1
27.6903,1
27.7231,1
27.7559,1
27.7887,1
27.8215,1
27.8543,1
27.8871,1
27.9199,1
27.9528,1
27.9856,1
28.0184,1
28.0512,1
28.084,1
28.1168,1
28.1496,1
28.1824,1
28.2152,1
28.248,1
28.2808,1
28.3136,1
28.3465,1
28.3793,1
28.4121,1
28.4449,1
28.4777,1
28.5105,1
28.5433,1
28.5761,1
28.6089,1
28.6417,1
28.6745,1
28.7073,1
28.7402,1
28.773,1
28.8058,1
28.8386,1
28.8714,1
28.9042,1
28.937,1
28.9698,1
29.0026,1
29.0354,1
29.0682,1
29.101,1
29.1339,1
29.1667,1
29.1995,1
29.2323,1
29.2651,1
29.2979,1
29.3307,1
29.3635,1
29.3963,1
29.4291,1
29.4619,1
29.4948,1
29.5276,1
29.5604,1
29.5932,1
29.626,1
29.6588,1
29.6916,1
29.7244,1
29.7572,1
29.79,1
29.8228,1
29.8556,1
29.8885,1
29.9213,1
29.9541,1
29.9869,1
30.0197,1
30.0525,1
30.0853,1
30.1181,1
30.1509,1
30.1837,1
30.2165,1
30.2493,1
30.2822,1
