Water Depth [ft],Factor
14.4685,1
14.5013,1
14.5341,1
14.5669,1
14.5997,1
14.6325,1
14.6654,1
14.6982,1
14.731,1
14.7638,1
14.7966,1
14.8294,1
14.8622,1
14.895,1
14.9278,1
14.9606,1
14.9934,1
15.0262,1
15.0591,1
15.0919,1
15.1247,1
15.1575,1
15.1903,1
15.2231,1
15.2559,1
15.2887,1
15.3215,1
15.3543,1
15.3871,1
15.4199,1
15.4528,1
15.4856,1
15.5184,1
15.5512,1
15.584,1
15.6168,1
15.6496,1
15.6824,1
15.7152,1
15.748,1
15.7808,1
15.8136,1
15.8465,1
15.8793,1
15.9121,1
15.9449,1
15.9777,1
16.0105,1
16.0433,1
16.0761,1
16.1089,1
16.1417,1
16.1745,1
16.2073,1
16.2402,1
16.273,1
16.3058,1
16.3386,1
16.3714,1
16.4042,1
16.437,1
16.4698,1
16.5026,1
16.5354,1
16.5682,1
16.601,1
16.6339,1
16.6667,1
16.6995,1
16.7323,1
16.7651,1
16.7979,1
16.8307,1
16.8635,1
16.8963,1
16.9291,1
16.9619,1
16.9948,1
17.0276,1
17.0604,1
17.0932,1
17.126,1
17.1588,1
17.1916,1
17.2244,1
17.2572,1
17.29,1
17.3228,1
17.3556,1
17.3885,1
17.4213,1
17.4541,1
17.4869,1
17.5197,1
17.5525,1
17.5853,1
17.6181,1
17.6509,1
17.6837,1
17.7165,1
17.7493,1
17.7822,1
17.815,1
17.8478,1
17.8806,1
17.9134,1
17.9462,1
17.979,1
18.0118,1
18.0446,1
18.0774,1
18.1102,1
18.143,1
18.1759,1
18.2087,1
18.2415,1
18.2743,1
18.3071,1
18.3399,1
18.3727,1
18.4055,1
18.4383,1
18.4711,1
18.5039,1
18.5367,1
18.5696,1
18.6024,1
18.6352,1
18.668,1
18.7008,1
18.7336,1
18.7664,1
18.7992,1
18.832,1
18.8648,1
18.8976,1
18.9304,1
18.9633,1
18.9961,1
19.0289,1
19.0617,1
19.0945,1
19.1273,1
19.1601,1
19.1929,1
19.2257,1
19.2585,1
19.2913,1
19.3241,1
19.357,1
19.3898,1
19.4226,1
19.4554,1
19.4882,1
19.521,1
19.5538,1
19.5866,1
19.6194,1
19.6522,1
19.685,1
19.7178,1
19.7507,1
19.7835,1
19.8163,1
19.8491,1
19.8819,1
19.9147,1
19.9475,1
19.9803,1
20.0131,1
20.0459,1
20.0787,1
20.1115,1
20.1444,1
20.1772,1
20.21,1
20.2428,1
20.2756,1
20.3084,1
20.3412,1
20.374,1
20.4068,1
20.4396,1
20.4724,1
20.5052,1
20.5381,1
20.5709,1
20.6037,1
20.6365,1
20.6693,1
20.7021,1
20.7349,1
20.7677,1
20.8005,1
20.8333,1
20.8661,1
20.899,1
