Water Depth [ft],Factor
0.0,0.0
0.0328,0.0049
0.0656,0.0098
0.0984,0.0146
0.1312,0.0195
0.164,0.0244
0.1969,0.0293
0.2297,0.0341
0.2625,0.039
0.2953,0.0439
0.3281,0.0488
0.3609,0.0536
0.3937,0.0585
0.4265,0.0634
0.4593,0.0683
0.4921,0.0731
0.5249,0.078
0.5577,0.0829
0.5906,0.0878
0.6234,0.0926
0.6562,0.0975
0.689,0.1024
0.7218,0.1073
0.7546,0.1121
0.7874,0.117
0.8202,0.1219
0.853,0.1268
0.8858,0.1316
0.9186,0.1365
0.9514,0.1414
0.9843,0.1463
1.0171,0.1511
1.0499,0.156
1.0827,0.1609
1.1155,0.1658
1.1483,0.1707
1.1811,0.1755
1.2139,0.1804
1.2467,0.1853
1.2795,0.1902
1.3123,0.195
1.3451,0.1999
1.378,0.2048
1.4108,0.2097
1.4436,0.2145
1.4764,0.2194
1.5092,0.2243
1.542,0.2292
1.5748,0.234
1.6076,0.2389
1.6404,0.2438
1.6732,0.2468
1.706,0.2498
1.7388,0.2528
1.7717,0.2558
1.8045,0.2588
1.8373,0.2618
1.8701,0.2648
1.9029,0.2678
1.9357,0.2708
1.9685,0.2738
2.0013,0.2768
2.0341,0.2798
2.0669,0.2828
2.0997,0.2858
2.1325,0.2888
2.1654,0.2918
2.1982,0.2948
2.231,0.2978
2.2638,0.3008
2.2966,0.3038
2.3294,0.3068
2.3622,0.3098
2.395,0.3128
2.4278,0.3158
2.4606,0.3188
2.4934,0.3218
2.5262,0.3248
2.5591,0.3278
2.5919,0.3308
2.6247,0.3338
2.6575,0.3368
2.6903,0.3398
2.7231,0.3428
2.7559,0.3458
2.7887,0.3488
2.8215,0.3518
2.8543,0.3548
2.8871,0.3578
2.9199,0.3608
2.9528,0.3638
2.9856,0.3668
3.0184,0.3698
3.0512,0.3728
3.084,0.3758
3.1168,0.3788
3.1496,0.3818
3.1824,0.3848
3.2152,0.3878
3.248,0.3908
3.2808,0.3938
3.3136,0.3959
3.3465,0.3979
3.3793,0.4
3.4121,0.402
3.4449,0.4041
3.4777,0.4062
3.5105,0.4082
