Water Depth [ft],Factor
9.9409,0.8828
9.9738,0.8833
10.0066,0.8839
10.0394,0.8844
10.0722,0.885
10.105,0.8856
10.1378,0.8861
10.1706,0.8867
10.2034,0.8872
10.2362,0.8878
10.269,0.8883
10.3018,0.8889
10.3346,0.8895
10.3675,0.89
10.4003,0.8906
10.4331,0.8911
10.4659,0.8917
10.4987,0.8923
10.5315,0.8928
10.5643,0.8934
10.5971,0.8939
10.6299,0.8945
10.6627,0.895
10.6955,0.8956
10.7283,0.8962
10.7612,0.8967
10.794,0.8973
10.8268,0.8978
10.8596,0.8984
10.8924,0.899
10.9252,0.8995
10.958,0.9001
10.9908,0.9006
11.0236,0.9012
11.0564,0.9017
11.0892,0.9023
11.122,0.9029
11.1549,0.9034
11.1877,0.904
11.2205,0.9045
11.2533,0.9051
11.2861,0.9056
11.3189,0.9062
11.3517,0.9068
11.3845,0.9073
11.4173,0.9079
11.4501,0.9084
11.4829,0.909
11.5157,0.9096
11.5486,0.9101
11.5814,0.9107
11.6142,0.9112
11.647,0.9118
11.6798,0.9123
11.7126,0.9129
11.7454,0.9135
11.7782,0.914
11.811,0.9146
11.8438,0.9151
11.8766,0.9157
11.9094,0.9163
11.9423,0.9168
11.9751,0.9174
12.0079,0.9179
12.0407,0.9185
12.0735,0.919
12.1063,0.9196
12.1391,0.9202
12.1719,0.9207
12.2047,0.9213
12.2375,0.9218
12.2703,0.9224
12.3031,0.9229
12.336,0.9235
12.3688,0.9241
12.4016,0.9246
12.4344,0.9252
12.4672,0.9257
12.5,0.9263
12.5328,0.9269
12.5656,0.9274
12.5984,0.928
12.6312,0.9285
12.664,0.9291
12.6969,0.9296
12.7297,0.9302
12.7625,0.9308
12.7953,0.9313
12.8281,0.9319
12.8609,0.9324
12.8937,0.933
12.9265,0.9336
12.9593,0.9341
12.9921,0.9347
13.0249,0.9352
13.0577,0.9358
13.0906,0.9363
13.1234,0.9369
13.1562,0.9373
13.189,0.9377
13.2218,0.938
13.2546,0.9384
13.2874,0.9388
13.3202,0.9392
13.353,0.9396
13.3858,0.9399
13.4186,0.9403
13.4514,0.9407
13.4843,0.9411
13.5171,0.9415
13.5499,0.9418
13.5827,0.9422
13.6155,0.9426
13.6483,0.943
13.6811,0.9434
13.7139,0.9438
13.7467,0.9441
13.7795,0.9445
13.8123,0.9449
13.8451,0.9453
13.878,0.9457
13.9108,0.946
13.9436,0.9464
13.9764,0.9468
14.0092,0.9472
14.042,0.9476
14.0748,0.9479
14.1076,0.9483
14.1404,0.9487
14.1732,0.9491
14.206,0.9495
14.2388,0.9498
14.2717,0.9502
14.3045,0.9506
14.3373,0.951
14.3701,0.9514
14.4029,0.9517
14.4357,0.9521
14.4685,0.9525
14.5013,0.9529
14.5341,0.9533
14.5669,0.9536
14.5997,0.954
14.6325,0.9544
14.6654,0.9548
14.6982,0.9552
14.731,0.9555
14.7638,0.9559
14.7966,0.9563
14.8294,0.9567
14.8622,0.9571
14.895,0.9574
14.9278,0.9578
14.9606,0.9582
14.9934,0.9586
15.0262,0.959
15.0591,0.9594
15.0919,0.9597
15.1247,0.9601
15.1575,0.9605
15.1903,0.9609
15.2231,0.9613
15.2559,0.9616
15.2887,0.962
15.3215,0.9624
15.3543,0.9628
15.3871,0.9632
15.4199,0.9635
15.4528,0.9639
15.4856,0.9643
15.5184,0.9647
15.5512,0.9651
15.584,0.9654
15.6168,0.9658
15.6496,0.9662
15.6824,0.9666
15.7152,0.967
15.748,0.9673
15.7808,0.9677
15.8136,0.9681
15.8465,0.9685
15.8793,0.9689
15.9121,0.9692
15.9449,0.9696
15.9777,0.97
16.0105,0.9704
16.0433,0.9708
16.0761,0.9711
16.1089,0.9715
16.1417,0.9719
16.1745,0.9723
16.2073,0.9727
16.2402,0.9731
16.273,0.9734
16.3058,0.9738
16.3386,0.9742
16.3714,0.9746
16.4042,0.975
16.437,0.9752
16.4698,0.9754
16.5026,0.9757
16.5354,0.9759
16.5682,0.9762
16.601,0.9764
16.6339,0.9766
16.6667,0.9769
16.6995,0.9771
16.7323,0.9773
16.7651,0.9776
16.7979,0.9778
16.8307,0.9781
16.8635,0.9783
16.8963,0.9785
16.9291,0.9788
16.9619,0.979
16.9948,0.9793
17.0276,0.9795
17.0604,0.9797
17.0932,0.98
17.126,0.9802
17.1588,0.9805
17.1916,0.9807
17.2244,0.9809
17.2572,0.9812
17.29,0.9814
17.3228,0.9817
17.3556,0.9819
17.3885,0.9821
17.4213,0.9824
17.4541,0.9826
17.4869,0.9829
17.5197,0.9831
17.5525,0.9833
17.5853,0.9836
17.6181,0.9838
17.6509,0.984
17.6837,0.9843
17.7165,0.9845
17.7493,0.9848
17.7822,0.985
17.815,0.9852
17.8478,0.9855
17.8806,0.9857
17.9134,0.986
17.9462,0.9862
17.979,0.9864
18.0118,0.9867
18.0446,0.9869
18.0774,0.9872
18.1102,0.9874
18.143,0.9876
18.1759,0.9879
18.2087,0.9881
18.2415,0.9884
18.2743,0.9886
18.3071,0.9888
18.3399,0.9891
18.3727,0.9893
18.4055,0.9896
18.4383,0.9898
