Water Depth [ft],Factor
0.0,0.0
0.0328,0.0043
0.0656,0.0086
0.0984,0.0129
0.1312,0.0172
0.164,0.0214
0.1969,0.0257
0.2297,0.03
0.2625,0.0343
0.2953,0.0386
0.3281,0.0429
0.3609,0.0472
0.3937,0.0515
0.4265,0.0558
0.4593,0.06
0.4921,0.0643
0.5249,0.0686
0.5577,0.0729
0.5906,0.0772
0.6234,0.0815
0.6562,0.0858
0.689,0.0901
0.7218,0.0944
0.7546,0.0986
0.7874,0.1029
0.8202,0.1072
0.853,0.1115
0.8858,0.1158
0.9186,0.1201
0.9514,0.1244
0.9843,0.1287
1.0171,0.133
1.0499,0.1372
1.0827,0.1415
1.1155,0.1458
1.1483,0.1501
1.1811,0.1544
1.2139,0.1587
1.2467,0.163
1.2795,0.1673
1.3123,0.1715
1.3451,0.1758
1.378,0.1801
1.4108,0.1844
1.4436,0.1887
1.4764,0.193
1.5092,0.1973
1.542,0.2016
1.5748,0.2059
1.6076,0.2101
1.6404,0.2144
1.6732,0.2176
1.706,0.2208
1.7388,0.2239
1.7717,0.2271
1.8045,0.2303
1.8373,0.2334
1.8701,0.2366
1.9029,0.2398
1.9357,0.2429
1.9685,0.2461
2.0013,0.2493
2.0341,0.2524
2.0669,0.2556
2.0997,0.2588
2.1325,0.2619
2.1654,0.2651
2.1982,0.2683
2.231,0.2714
2.2638,0.2746
2.2966,0.2778
2.3294,0.2809
2.3622,0.2841
2.395,0.2873
2.4278,0.2904
2.4606,0.2936
2.4934,0.2968
2.5262,0.2999
2.5591,0.3031
2.5919,0.3063
2.6247,0.3094
2.6575,0.3126
2.6903,0.3158
2.7231,0.3189
2.7559,0.3221
2.7887,0.3253
2.8215,0.3284
2.8543,0.3316
2.8871,0.3348
2.9199,0.3379
2.9528,0.3411
2.9856,0.3443
3.0184,0.3474
3.0512,0.3506
3.084,0.3538
3.1168,0.3569
3.1496,0.3601
3.1824,0.3633
3.2152,0.3664
3.248,0.3696
3.2808,0.3728
3.3136,0.3774
3.3465,0.382
3.3793,0.3866
3.4121,0.3912
3.4449,0.3959
3.4777,0.4005
3.5105,0.4051
3.5433,0.4097
3.5761,0.4144
3.6089,0.419
3.6417,0.4236
3.6745,0.4282
3.7073,0.4329
3.7402,0.4375
3.773,0.4421
3.8058,0.4467
3.8386,0.4514
3.8714,0.456
3.9042,0.4606
3.937,0.4652
3.9698,0.4699
4.0026,0.4745
4.0354,0.4791
4.0682,0.4837
4.101,0.4883
4.1339,0.493
4.1667,0.4976
4.1995,0.5022
4.2323,0.5068
4.2651,0.5115
4.2979,0.5161
4.3307,0.5207
4.3635,0.5253
4.3963,0.53
4.4291,0.5346
4.4619,0.5392
4.4948,0.5438
4.5276,0.5485
4.5604,0.5531
4.5932,0.5577
4.626,0.5623
4.6588,0.5669
4.6916,0.5716
4.7244,0.5762
4.7572,0.5808
4.79,0.5854
4.8228,0.5901
4.8556,0.5947
4.8885,0.5993
4.9213,0.6039
4.9541,0.606
4.9869,0.6082
5.0197,0.6103
5.0525,0.6124
5.0853,0.6145
5.1181,0.6166
5.1509,0.6187
5.1837,0.6209
5.2165,0.623
5.2493,0.6251
5.2822,0.6272
5.315,0.6293
5.3478,0.6314
5.3806,0.6335
5.4134,0.6357
5.4462,0.6378
5.479,0.6399
5.5118,0.642
5.5446,0.6441
5.5774,0.6462
5.6102,0.6483
5.643,0.6505
5.6759,0.6526
5.7087,0.6547
5.7415,0.6568
5.7743,0.6589
5.8071,0.661
5.8399,0.6631
5.8727,0.6653
5.9055,0.6674
5.9383,0.6695
5.9711,0.6716
6.0039,0.6737
6.0367,0.6758
6.0696,0.6779
6.1024,0.6801
6.1352,0.6822
6.168,0.6843
6.2008,0.6864
6.2336,0.6885
6.2664,0.6906
6.2992,0.6927
6.332,0.6949
6.3648,0.697
6.3976,0.6991
6.4304,0.7012
6.4633,0.7033
6.4961,0.7054
6.5289,0.7075
6.5617,0.7097
6.5945,0.7106
6.6273,0.7116
6.6601,0.7126
6.6929,0.7136
6.7257,0.7146
6.7585,0.7156
6.7913,0.7166
6.8241,0.7176
6.857,0.7185
6.8898,0.7195
6.9226,0.7205
6.9554,0.7215
6.9882,0.7225
7.021,0.7235
7.0538,0.7245
7.0866,0.7255
7.1194,0.7264
7.1522,0.7274
7.185,0.7284
7.2178,0.7294
7.2507,0.7304
7.2835,0.7314
7.3163,0.7324
7.3491,0.7334
7.3819,0.7343
7.4147,0.7353
7.4475,0.7363
7.4803,0.7373
7.5131,0.7383
7.5459,0.7393
7.5787,0.7403
7.6115,0.7413
7.6444,0.7422
7.6772,0.7432
7.71,0.7442
7.7428,0.7452
7.7756,0.7462
7.8084,0.7472
7.8412,0.7482
7.874,0.7492
7.9068,0.7501
7.9396,0.7511
7.9724,0.7521
8.0052,0.7531
8.0381,0.7541
8.0709,0.7551
8.1037,0.7561
8.1365,0.7571
8.1693,0.758
8.2021,0.759
8.2349,0.76
8.2677,0.761
8.3005,0.762
8.3333,0.763
8.3661,0.764
8.399,0.765
8.4318,0.7659
8.4646,0.7669
8.4974,0.7679
8.5302,0.7689
8.563,0.7699
8.5958,0.7709
8.6286,0.7719
8.6614,0.7729
8.6942,0.7738
8.727,0.7748
8.7598,0.7758
8.7927,0.7768
8.8255,0.7778
8.8583,0.7788
8.8911,0.7798
8.9239,0.7808
8.9567,0.7817
8.9895,0.7827
9.0223,0.7837
9.0551,0.7847
9.0879,0.7857
9.1207,0.7867
9.1535,0.7877
9.1864,0.7887
9.2192,0.7896
9.252,0.7906
9.2848,0.7916
9.3176,0.7926
9.3504,0.7936
9.3832,0.7946
9.416,0.7956
9.4488,0.7966
9.4816,0.7975
9.5144,0.7985
9.5472,0.7995
9.5801,0.8005
9.6129,0.8015
9.6457,0.8025
9.6785,0.8035
9.7113,0.8045
9.7441,0.8054
9.7769,0.8064
9.8097,0.8074
9.8425,0.8084
9.8753,0.8092
9.9081,0.81
9.9409,0.8108
9.9738,0.8116
10.0066,0.8123
10.0394,0.8131
10.0722,0.8139
10.105,0.8147
10.1378,0.8155
10.1706,0.8163
10.2034,0.8171
10.2362,0.8179
10.269,0.8186
10.3018,0.8194
10.3346,0.8202
10.3675,0.821
10.4003,0.8218
10.4331,0.8226
10.4659,0.8234
10.4987,0.8242
10.5315,0.8249
10.5643,0.8257
10.5971,0.8265
10.6299,0.8273
10.6627,0.8281
10.6955,0.8289
10.7283,0.8297
10.7612,0.8305
10.794,0.8312
10.8268,0.832
10.8596,0.8328
10.8924,0.8336
10.9252,0.8344
10.958,0.8352
10.9908,0.836
11.0236,0.8368
11.0564,0.8375
11.0892,0.8383
11.122,0.8391
11.1549,0.8399
11.1877,0.8407
11.2205,0.8415
11.2533,0.8423
11.2861,0.8431
11.3189,0.8438
11.3517,0.8446
11.3845,0.8454
11.4173,0.8462
11.4501,0.847
11.4829,0.8478
11.5157,0.8486
11.5486,0.8494
11.5814,0.8501
11.6142,0.8509
11.647,0.8517
11.6798,0.8525
11.7126,0.8533
11.7454,0.8541
11.7782,0.8549
11.811,0.8557
11.8438,0.8564
11.8766,0.8572
11.9094,0.858
11.9423,0.8588
11.9751,0.8596
12.0079,0.8604
12.0407,0.8612
12.0735,0.862
12.1063,0.8627
12.1391,0.8635
12.1719,0.8643
12.2047,0.8651
12.2375,0.8659
12.2703,0.8667
12.3031,0.8675
12.336,0.8683
12.3688,0.869
12.4016,0.8698
12.4344,0.8706
12.4672,0.8714
12.5,0.8722
12.5328,0.873
12.5656,0.8738
12.5984,0.8746
12.6312,0.8753
12.664,0.8761
12.6969,0.8769
12.7297,0.8777
12.7625,0.8785
12.7953,0.8793
12.8281,0.8801
12.8609,0.8809
12.8937,0.8816
12.9265,0.8824
12.9593,0.8832
12.9921,0.884
13.0249,0.8848
13.0577,0.8856
13.0906,0.8864
13.1234,0.8872
13.1562,0.888
13.189,0.8888
13.2218,0.8896
13.2546,0.8904
13.2874,0.8912
13.3202,0.8921
13.353,0.8929
13.3858,0.8937
13.4186,0.8945
13.4514,0.8953
13.4843,0.8961
13.5171,0.897
13.5499,0.8978
13.5827,0.8986
