Water Depth [ft],Factor
10.6299,0.8426
10.6627,0.8434
10.6955,0.8442
10.7283,0.845
10.7612,0.8458
10.794,0.8466
10.8268,0.8474
10.8596,0.8481
10.8924,0.8489
10.9252,0.8497
10.958,0.8505
10.9908,0.8513
11.0236,0.8521
11.0564,0.8529
11.0892,0.8537
11.122,0.8544
11.1549,0.8552
11.1877,0.856
11.2205,0.8568
11.2533,0.8576
11.2861,0.8584
11.3189,0.8592
11.3517,0.86
11.3845,0.8607
11.4173,0.8615
11.4501,0.8623
11.4829,0.8631
11.5157,0.8639
11.5486,0.8647
11.5814,0.8655
11.6142,0.8663
11.647,0.867
11.6798,0.8678
11.7126,0.8686
11.7454,0.8694
11.7782,0.8702
11.811,0.871
11.8438,0.8718
11.8766,0.8726
11.9094,0.8733
11.9423,0.8741
11.9751,0.8749
12.0079,0.8757
12.0407,0.8765
12.0735,0.8773
12.1063,0.8781
12.1391,0.8789
12.1719,0.8796
12.2047,0.8804
12.2375,0.8812
12.2703,0.882
12.3031,0.8828
12.336,0.8836
12.3688,0.8844
12.4016,0.8852
12.4344,0.8859
12.4672,0.8867
12.5,0.8875
12.5328,0.8883
12.5656,0.8891
12.5984,0.8899
12.6312,0.8907
12.664,0.8915
12.6969,0.8922
12.7297,0.893
12.7625,0.8938
12.7953,0.8946
12.8281,0.8954
12.8609,0.8962
12.8937,0.897
12.9265,0.8978
12.9593,0.8985
12.9921,0.8993
13.0249,0.9001
13.0577,0.9009
13.0906,0.9017
13.1234,0.9025
13.1562,0.9031
13.189,0.9037
13.2218,0.9042
13.2546,0.9048
13.2874,0.9054
13.3202,0.906
13.353,0.9066
13.3858,0.9072
13.4186,0.9078
13.4514,0.9084
13.4843,0.9089
13.5171,0.9095
13.5499,0.9101
13.5827,0.9107
13.6155,0.9113
13.6483,0.9119
13.6811,0.9125
13.7139,0.9131
13.7467,0.9136
13.7795,0.9142
13.8123,0.9148
13.8451,0.9154
13.878,0.916
13.9108,0.9166
13.9436,0.9172
13.9764,0.9178
14.0092,0.9183
14.042,0.9189
14.0748,0.9195
14.1076,0.9201
14.1404,0.9207
14.1732,0.9213
14.206,0.9219
14.2388,0.9225
14.2717,0.923
14.3045,0.9236
14.3373,0.9242
14.3701,0.9248
14.4029,0.9254
14.4357,0.926
14.4685,0.9266
14.5013,0.9272
14.5341,0.9278
14.5669,0.9283
14.5997,0.9289
14.6325,0.9295
14.6654,0.9301
14.6982,0.9307
14.731,0.9313
14.7638,0.9319
14.7966,0.9325
14.8294,0.933
14.8622,0.9336
14.895,0.9342
14.9278,0.9348
14.9606,0.9354
14.9934,0.936
15.0262,0.9366
15.0591,0.9372
15.0919,0.9377
15.1247,0.9383
15.1575,0.9389
15.1903,0.9395
15.2231,0.9401
15.2559,0.9407
15.2887,0.9413
15.3215,0.9419
15.3543,0.9424
15.3871,0.943
15.4199,0.9436
15.4528,0.9442
15.4856,0.9448
15.5184,0.9454
15.5512,0.946
15.584,0.9466
15.6168,0.9471
15.6496,0.9477
15.6824,0.9483
15.7152,0.9489
15.748,0.9495
15.7808,0.9501
15.8136,0.9507
15.8465,0.9513
15.8793,0.9518
15.9121,0.9524
15.9449,0.953
15.9777,0.9536
16.0105,0.9542
16.0433,0.9548
16.0761,0.9554
16.1089,0.956
16.1417,0.9565
16.1745,0.9571
16.2073,0.9577
16.2402,0.9583
16.273,0.9589
16.3058,0.9595
16.3386,0.9601
16.3714,0.9607
16.4042,0.9612
16.437,0.9616
16.4698,0.962
16.5026,0.9624
16.5354,0.9628
16.5682,0.9632
16.601,0.9636
16.6339,0.964
16.6667,0.9643
16.6995,0.9647
16.7323,0.9651
16.7651,0.9655
16.7979,0.9659
16.8307,0.9663
16.8635,0.9667
16.8963,0.9671
16.9291,0.9674
16.9619,0.9678
16.9948,0.9682
17.0276,0.9686
17.0604,0.969
17.0932,0.9694
17.126,0.9698
17.1588,0.9702
17.1916,0.9705
17.2244,0.9709
17.2572,0.9713
17.29,0.9717
17.3228,0.9721
17.3556,0.9725
17.3885,0.9729
17.4213,0.9733
17.4541,0.9736
17.4869,0.974
17.5197,0.9744
17.5525,0.9748
17.5853,0.9752
17.6181,0.9756
17.6509,0.976
17.6837,0.9764
17.7165,0.9767
17.7493,0.9771
17.7822,0.9775
17.815,0.9779
17.8478,0.9783
17.8806,0.9787
17.9134,0.9791
17.9462,0.9795
17.979,0.9798
18.0118,0.9802
18.0446,0.9806
18.0774,0.981
18.1102,0.9814
18.143,0.9818
18.1759,0.9822
18.2087,0.9826
18.2415,0.9829
18.2743,0.9833
18.3071,0.9837
18.3399,0.9841
18.3727,0.9845
18.4055,0.9849
18.4383,0.9853
18.4711,0.9857
18.5039,0.986
18.5367,0.9864
18.5696,0.9868
18.6024,0.9872
18.6352,0.9876
18.668,0.988
18.7008,0.9884
18.7336,0.9888
18.7664,0.9891
18.7992,0.9895
18.832,0.9899
18.8648,0.9903
18.8976,0.9907
18.9304,0.9911
18.9633,0.9915
18.9961,0.9919
19.0289,0.9922
19.0617,0.9926
19.0945,0.993
19.1273,0.9934
19.1601,0.9938
19.1929,0.9942
19.2257,0.9946
19.2585,0.995
19.2913,0.9953
19.3241,0.9957
19.357,0.9961
19.3898,0.9965
19.4226,0.9969
19.4554,0.9973
19.4882,0.9977
19.521,0.9981
19.5538,0.9984
19.5866,0.9988
19.6194,0.9992
19.6522,0.9996
19.685,10
197.178,10
197.507,10
197.835,10
198.163,10
198.491,10
198.819,10
199.147,10
199.475,10
199.803,10
200.131,10
200.459,10
200.787,10
201.115,10
201.444,10
201.772,10
20.21,1
202.428,10
202.756,10
203.084,10
203.412,10
20.374,10
204.068,10
204.396,10
204.724,10
205.052,10
205.381,10
205.709,10
206.037,10
206.365,10
206.693,10
207.021,10
207.349,10
207.677,10
208.005,10
208.333,10
208.661,10
20.899,10
209.318,10
209.646,10
209.974,10
210.302,10
21.063,10
210.958,10
211.286,10
211.614,10
211.942,10
21.227,10
212.598,10
212.927,10
213.255,10
213.583,10
213.911,10
214.239,10
214.567,10
214.895,10
215.223,10
215.551,10
215.879,10
216.207,10
216.535,10
216.864,10
217.192,10
21.752,10
217.848,10
218.176,10
218.504,10
218.832,10
21.916,10
219.488,10
219.816,10
220.144,10
220.472,10
220.801,10
221.129,10
221.457,10
221.785,10
222.113,10
222.441,10
222.769,10
223.097,10
223.425,10
223.753,10
224.081,10
224.409,10
224.738,10
225.066,10
225.394,10
225.722,10
22.605,10
226.378,10
226.706,10
227.034,10
227.362,10
22.769,10
228.018,10
228.346,10
228.675,10
229.003,10
229.331,10
229.659,10
229.987,10
230.315,10
230.643,10
230.971,10
231.299,10
231.627,10
231.955,10
232.283,10
232.612,10
23.294,10
233.268,10
233.596,10
233.924,10
234.252,10
23.458,10
234.908,10
235.236,10
235.564,10
235.892,10
23.622,10
236.549,10
236.877,10
237.205,10
237.533,10
237.861,10
238.189,10
238.517,10
238.845,10
239.173,10
239.501,10
239.829,10
240.157,10
240.486,10
240.814,10
241.142,10
24.147,10
241.798,10
242.126,10
242.454,10
242.782,10
24.311,10
243.438,10
243.766,10
244.094,10
244.423,10
244.751,10
245.079,10
245.407,10
245.735,10
246.063,10
246.391,10
246.719,10
247.047,10
247.375,10
247.703,10
248.031,10
24.836,10
248.688,10
249.016,10
249.344,10
249.672,10
25,1
250.328,10
250.656,10
250.984,10
251.312,10
25.164,10
251.969,10
252.297,10
252.625,10
252.953,10
253.281,10
253.609,10
253.937,10
254.265,10
254.593,10
254.921,10
255.249,10
255.577,10
255.906,10
256.234,10
256.562,10
25.689,10
257.218,10
257.546,10
257.874,10
258.202,10
25.853,10
258.858,10
259.186,10
259.514,10
259.843,10
260.171,10
260.499,10
260.827,10
261.155,10
261.483,10
261.811,10
262.139,10
262.467,10
