Water Depth [ft],Factor
11.2533,0.843
11.2861,0.844
11.3189,0.845
11.3517,0.846
11.3845,0.847
11.4173,0.848
11.4501,0.849
11.4829,0.85
11.5157,0.851
11.5486,0.852
11.5814,0.853
11.6142,0.854
11.647,0.855
11.6798,0.856
11.7126,0.857
11.7454,0.858
11.7782,0.859
11.811,0.86
11.8438,0.861
11.8766,0.862
11.9094,0.863
11.9423,0.864
11.9751,0.865
12.0079,0.866
12.0407,0.867
12.0735,0.868
12.1063,0.869
12.1391,0.87
12.1719,0.871
12.2047,0.872
12.2375,0.873
12.2703,0.874
12.3031,0.875
12.336,0.876
12.3688,0.877
12.4016,0.878
12.4344,0.879
12.4672,0.88
12.5,0.881
12.5328,0.882
12.5656,0.883
12.5984,0.884
12.6312,0.885
12.664,0.886
12.6969,0.887
12.7297,0.888
12.7625,0.889
12.7953,0.89
12.8281,0.891
12.8609,0.892
12.8937,0.893
12.9265,0.894
12.9593,0.895
12.9921,0.896
13.0249,0.897
13.0577,0.898
13.0906,0.899
13.1234,0.9
13.1562,0.901
13.189,0.902
13.2218,0.903
13.2546,0.904
13.2874,0.905
13.3202,0.906
13.353,0.907
13.3858,0.908
13.4186,0.909
13.4514,0.91
13.4843,0.911
13.5171,0.912
13.5499,0.913
13.5827,0.914
13.6155,0.915
13.6483,0.916
13.6811,0.917
13.7139,0.918
13.7467,0.919
13.7795,0.92
13.8123,0.921
13.8451,0.922
13.878,0.923
13.9108,0.924
13.9436,0.925
13.9764,0.926
14.0092,0.927
14.042,0.928
14.0748,0.929
14.1076,0.93
14.1404,0.931
14.1732,0.932
14.206,0.933
14.2388,0.934
14.2717,0.935
14.3045,0.936
14.3373,0.937
14.3701,0.938
14.4029,0.939
14.4357,0.94
14.4685,0.941
14.5013,0.942
14.5341,0.943
14.5669,0.944
14.5997,0.945
14.6325,0.946
14.6654,0.947
14.6982,0.948
14.731,0.949
14.7638,0.95
14.7966,0.951
14.8294,0.952
14.8622,0.953
14.895,0.954
14.9278,0.955
14.9606,0.956
14.9934,0.957
15.0262,0.958
15.0591,0.959
15.0919,0.96
15.1247,0.961
15.1575,0.962
15.1903,0.963
15.2231,0.964
15.2559,0.965
15.2887,0.966
15.3215,0.967
15.3543,0.968
15.3871,0.969
15.4199,0.97
15.4528,0.971
15.4856,0.972
15.5184,0.973
15.5512,0.974
15.584,0.975
15.6168,0.976
15.6496,0.977
15.6824,0.978
15.7152,0.979
15.748,0.98
15.7808,0.981
15.8136,0.982
15.8465,0.983
15.8793,0.984
