Water Depth [inch],Factor
128.3465,0.8457
128.7402,0.8464
129.1339,0.8471
129.5276,0.8479
129.9213,0.8486
130.315,0.8494
130.7087,0.8501
131.1024,0.8508
131.4961,0.8516
131.8898,0.8523
132.2835,0.853
132.6772,0.8538
133.0709,0.8545
133.4646,0.8553
133.8583,0.856
134.252,0.8567
134.6457,0.8575
135.0394,0.8582
135.4331,0.8589
135.8268,0.8597
136.2205,0.8604
136.6142,0.8612
137.0079,0.8619
137.4016,0.8626
137.7953,0.8634
138.189,0.8641
138.5827,0.8648
138.9764,0.8656
139.3701,0.8663
139.7638,0.8671
140.1575,0.8678
140.5512,0.8685
140.9449,0.8693
141.3386,0.87
141.7323,0.8707
142.126,0.8715
142.5197,0.8722
142.9134,0.873
143.3071,0.8737
143.7008,0.8744
144.0945,0.8752
144.4882,0.8759
144.8819,0.8766
145.2756,0.8774
145.6693,0.8781
146.063,0.8788
146.4567,0.8796
146.8504,0.8803
147.2441,0.8811
147.6378,0.8818
148.0315,0.8825
148.4252,0.8833
148.8189,0.884
149.2126,0.8847
149.6063,0.8855
150,0.8862
150.3937,0.887
150.7874,0.8877
151.1811,0.8884
151.5748,0.8892
151.9685,0.8899
152.3622,0.8906
152.7559,0.8914
153.1496,0.8921
153.5433,0.8929
153.937,0.8936
154.3307,0.8943
154.7244,0.8951
155.1181,0.8958
155.5118,0.8965
155.9055,0.8973
156.2992,0.898
156.6929,0.8988
157.0866,0.8995
157.4803,0.9002
157.874,0.901
158.2677,0.9017
158.6614,0.9024
159.0551,0.9032
159.4488,0.9039
159.8425,0.9046
160.2362,0.9053
160.6299,0.9061
161.0236,0.9068
161.4173,0.9075
161.811,0.9082
162.2047,0.9089
162.5984,0.9096
162.9921,0.9103
163.3858,0.911
163.7795,0.9118
164.1732,0.9125
164.5669,0.9132
164.9606,0.9139
165.3543,0.9146
165.748,0.915
166.1417,0.9155
166.5354,0.9159
166.9291,0.9163
167.3228,0.9168
167.7165,0.9172
168.1102,0.9176
168.5039,0.9181
168.8976,0.9185
169.2913,0.9189
169.685,0.9194
170.0787,0.9198
170.4724,0.9202
170.8661,0.9206
171.2598,0.9211
171.6535,0.9215
172.0472,0.9219
172.4409,0.9224
172.8346,0.9228
173.2283,0.9232
173.622,0.9237
174.0157,0.9241
174.4094,0.9245
174.8031,0.925
175.1969,0.9254
175.5906,0.9258
175.9843,0.9262
176.378,0.9267
176.7717,0.9271
177.1654,0.9275
177.5591,0.928
177.9528,0.9284
178.3465,0.9288
178.7402,0.9293
179.1339,0.9297
179.5276,0.9301
179.9213,0.9306
180.315,0.931
180.7087,0.9314
181.1024,0.9319
181.4961,0.9323
181.8898,0.9327
182.2835,0.9331
182.6772,0.9336
183.0709,0.934
183.4646,0.9344
183.8583,0.9349
184.252,0.9353
184.6457,0.9357
185.0394,0.9362
185.4331,0.9366
185.8268,0.937
186.2205,0.9375
186.6142,0.9379
187.0079,0.9383
187.4016,0.9387
187.7953,0.9392
188.189,0.9396
188.5827,0.94
188.9764,0.9405
189.3701,0.9409
189.7638,0.9413
190.1575,0.9418
190.5512,0.9422
190.9449,0.9426
191.3386,0.9431
191.7323,0.9435
192.126,0.9439
192.5197,0.9444
192.9134,0.9448
193.3071,0.9452
193.7008,0.9456
194.0945,0.9461
194.4882,0.9465
194.8819,0.9469
195.2756,0.9474
195.6693,0.9478
196.063,0.9482
196.4567,0.9487
196.8504,0.9491
197.2441,0.9495
197.6378,0.95
198.0315,0.9504
198.4252,0.9508
198.8189,0.9512
199.2126,0.9517
199.6063,0.9521
200,0.9525
200.3937,0.953
200.7874,0.9534
201.1811,0.9538
201.5748,0.9543
201.9685,0.9547
202.3622,0.9551
202.7559,0.9556
203.1496,0.956
203.5433,0.9564
203.937,0.9569
204.3307,0.9573
204.7244,0.9577
205.1181,0.9581
205.5118,0.9586
205.9055,0.959
206.2992,0.9594
206.6929,0.9599
207.0866,0.9603
207.4803,0.9607
207.874,0.9612
208.2677,0.9616
208.6614,0.962
209.0551,0.9625
209.4488,0.9629
209.8425,0.9633
210.2362,0.9638
210.6299,0.9642
211.0236,0.9646
211.4173,0.965
211.811,0.9655
212.2047,0.9659
212.5984,0.9663
212.9921,0.9668
213.3858,0.9672
213.7795,0.9676
214.1732,0.9681
214.5669,0.9685
214.9606,0.9689
215.3543,0.9694
215.748,0.9698
216.1417,0.9702
216.5354,0.9706
216.9291,0.9711
217.3228,0.9715
217.7165,0.9719
218.1102,0.9724
218.5039,0.9728
218.8976,0.9732
219.2913,0.9737
219.685,0.9741
220.0787,0.9745
220.4724,0.975
220.8661,0.9754
221.2598,0.9758
221.6535,0.9763
222.0472,0.9767
222.4409,0.9771
222.8346,0.9775
223.2283,0.978
223.622,0.9784
224.0157,0.9788
224.4094,0.9793
224.8031,0.9797
225.1969,0.9801
225.5906,0.9806
225.9843,0.981
226.378,0.9814
226.7717,0.9819
227.1654,0.9823
227.5591,0.9827
