Water Depth [inch],Factor
0.0,0.0
0.3937,0.0043
0.7874,0.0086
1.1811,0.0129
1.5748,0.0172
1.9685,0.0214
2.3622,0.0257
2.7559,0.03
3.1496,0.0343
3.5433,0.0386
3.937,0.0429
4.3307,0.0472
4.7244,0.0515
5.1181,0.0558
5.5118,0.06
5.9055,0.0643
6.2992,0.0686
6.6929,0.0729
7.0866,0.0772
7.4803,0.0815
7.874,0.0858
8.2677,0.0901
8.6614,0.0944
9.0551,0.0986
9.4488,0.1029
9.8425,0.1072
10.2362,0.1115
10.6299,0.1158
11.0236,0.1201
11.4173,0.1244
11.811,0.1287
12.2047,0.133
12.5984,0.1372
12.9921,0.1415
13.3858,0.1458
13.7795,0.1501
14.1732,0.1544
14.5669,0.1587
14.9606,0.163
15.3543,0.1673
15.748,0.1715
16.1417,0.1758
16.5354,0.1801
16.9291,0.1844
17.3228,0.1887
17.7165,0.193
18.1102,0.1973
18.5039,0.2016
18.8976,0.2059
19.2913,0.2101
19.685,0.2144
20.0787,0.2176
20.4724,0.2208
20.8661,0.2239
21.2598,0.2271
21.6535,0.2303
22.0472,0.2334
22.4409,0.2366
22.8346,0.2398
23.2283,0.2429
23.622,0.2461
24.0157,0.2493
24.4094,0.2524
24.8031,0.2556
25.1969,0.2588
25.5906,0.2619
25.9843,0.2651
26.378,0.2683
26.7717,0.2714
27.1654,0.2746
27.5591,0.2778
27.9528,0.2809
28.3465,0.2841
28.7402,0.2873
29.1339,0.2904
29.5276,0.2936
29.9213,0.2968
30.315,0.2999
30.7087,0.3031
31.1024,0.3063
31.4961,0.3094
31.8898,0.3126
32.2835,0.3158
32.6772,0.3189
33.0709,0.3221
33.4646,0.3253
33.8583,0.3284
34.252,0.3316
34.6457,0.3348
35.0394,0.3379
35.4331,0.3411
35.8268,0.3443
36.2205,0.3474
36.6142,0.3506
37.0079,0.3538
37.4016,0.3569
37.7953,0.3601
38.189,0.3633
38.5827,0.3664
38.9764,0.3696
39.3701,0.3728
39.7638,0.3774
40.1575,0.382
40.5512,0.3866
40.9449,0.3912
41.3386,0.3959
41.7323,0.4005
42.126,0.4051
42.5197,0.4097
42.9134,0.4144
43.3071,0.419
43.7008,0.4236
44.0945,0.4282
44.4882,0.4329
44.8819,0.4375
45.2756,0.4421
45.6693,0.4467
46.063,0.4514
46.4567,0.456
46.8504,0.4606
47.2441,0.4652
47.6378,0.4699
48.0315,0.4745
48.4252,0.4791
48.8189,0.4837
49.2126,0.4883
49.6063,0.493
50,0.4976
50.3937,0.5022
50.7874,0.5068
51.1811,0.5115
51.5748,0.5161
51.9685,0.5207
52.3622,0.5253
52.7559,0.53
53.1496,0.5346
53.5433,0.5392
53.937,0.5438
54.3307,0.5485
54.7244,0.5531
55.1181,0.5577
55.5118,0.5623
55.9055,0.5669
56.2992,0.5716
56.6929,0.5762
57.0866,0.5808
57.4803,0.5854
57.874,0.5901
58.2677,0.5947
58.6614,0.5993
59.0551,0.6039
59.4488,0.606
59.8425,0.6082
60.2362,0.6103
60.6299,0.6124
61.0236,0.6145
61.4173,0.6166
61.811,0.6187
62.2047,0.6209
62.5984,0.623
62.9921,0.6251
63.3858,0.6272
63.7795,0.6293
64.1732,0.6314
64.5669,0.6335
64.9606,0.6357
65.3543,0.6378
65.748,0.6399
66.1417,0.642
66.5354,0.6441
66.9291,0.6462
67.3228,0.6483
67.7165,0.6505
68.1102,0.6526
68.5039,0.6547
68.8976,0.6568
69.2913,0.6589
69.685,0.661
70.0787,0.6631
70.4724,0.6653
70.8661,0.6674
71.2598,0.6695
71.6535,0.6716
72.0472,0.6737
72.4409,0.6758
72.8346,0.6779
73.2283,0.6801
73.622,0.6822
74.0157,0.6843
74.4094,0.6864
74.8031,0.6885
75.1969,0.6906
75.5906,0.6927
75.9843,0.6949
76.378,0.697
76.7717,0.6991
77.1654,0.7012
77.5591,0.7033
77.9528,0.7054
78.3465,0.7075
78.7402,0.7097
79.1339,0.7106
79.5276,0.7116
79.9213,0.7126
80.315,0.7136
80.7087,0.7146
81.1024,0.7156
81.4961,0.7166
81.8898,0.7176
82.2835,0.7185
82.6772,0.7195
83.0709,0.7205
83.4646,0.7215
83.8583,0.7225
84.252,0.7235
84.6457,0.7245
85.0394,0.7255
85.4331,0.7264
85.8268,0.7274
86.2205,0.7284
86.6142,0.7294
87.0079,0.7304
87.4016,0.7314
87.7953,0.7324
88.189,0.7334
88.5827,0.7343
88.9764,0.7353
89.3701,0.7363
89.7638,0.7373
90.1575,0.7383
90.5512,0.7393
90.9449,0.7403
91.3386,0.7413
91.7323,0.7422
92.126,0.7432
92.5197,0.7442
92.9134,0.7452
93.3071,0.7462
93.7008,0.7472
94.0945,0.7482
94.4882,0.7492
94.8819,0.7501
95.2756,0.7511
95.6693,0.7521
96.063,0.7531
96.4567,0.7541
96.8504,0.7551
97.2441,0.7561
97.6378,0.7571
98.0315,0.758
98.4252,0.759
98.8189,0.76
99.2126,0.761
99.6063,0.762
100,0.763
100.3937,0.764
100.7874,0.765
101.1811,0.7659
101.5748,0.7669
101.9685,0.7679
102.3622,0.7689
102.7559,0.7699
103.1496,0.7709
103.5433,0.7719
103.937,0.7729
104.3307,0.7738
104.7244,0.7748
105.1181,0.7758
105.5118,0.7768
105.9055,0.7778
106.2992,0.7788
106.6929,0.7798
107.0866,0.7808
107.4803,0.7817
107.874,0.7827
108.2677,0.7837
108.6614,0.7847
109.0551,0.7857
109.4488,0.7867
109.8425,0.7877
110.2362,0.7887
110.6299,0.7896
111.0236,0.7906
111.4173,0.7916
111.811,0.7926
112.2047,0.7936
112.5984,0.7946
112.9921,0.7956
113.3858,0.7966
113.7795,0.7975
114.1732,0.7985
114.5669,0.7995
114.9606,0.8005
115.3543,0.8015
115.748,0.8025
116.1417,0.8035
116.5354,0.8045
116.9291,0.8054
117.3228,0.8064
117.7165,0.8074
118.1102,0.8084
118.5039,0.8092
118.8976,0.81
119.2913,0.8108
119.685,0.8116
120.0787,0.8123
120.4724,0.8131
120.8661,0.8139
121.2598,0.8147
121.6535,0.8155
122.0472,0.8163
122.4409,0.8171
122.8346,0.8179
123.2283,0.8186
123.622,0.8194
124.0157,0.8202
124.4094,0.821
124.8031,0.8218
125.1969,0.8226
125.5906,0.8234
125.9843,0.8242
126.378,0.8249
126.7717,0.8257
127.1654,0.8265
127.5591,0.8273
127.9528,0.8281
128.3465,0.8289
128.7402,0.8297
129.1339,0.8305
129.5276,0.8312
129.9213,0.832
130.315,0.8328
130.7087,0.8336
131.1024,0.8344
131.4961,0.8352
131.8898,0.836
132.2835,0.8368
132.6772,0.8375
133.0709,0.8383
133.4646,0.8391
133.8583,0.8399
134.252,0.8407
134.6457,0.8415
135.0394,0.8423
135.4331,0.8431
135.8268,0.8438
136.2205,0.8446
136.6142,0.8454
137.0079,0.8462
137.4016,0.847
137.7953,0.8478
138.189,0.8486
138.5827,0.8494
138.9764,0.8501
139.3701,0.8509
139.7638,0.8517
140.1575,0.8525
140.5512,0.8533
140.9449,0.8541
141.3386,0.8549
141.7323,0.8557
142.126,0.8564
142.5197,0.8572
142.9134,0.858
143.3071,0.8588
143.7008,0.8596
144.0945,0.8604
144.4882,0.8612
144.8819,0.862
145.2756,0.8627
145.6693,0.8635
146.063,0.8643
146.4567,0.8651
146.8504,0.8659
147.2441,0.8667
147.6378,0.8675
148.0315,0.8683
148.4252,0.869
148.8189,0.8698
149.2126,0.8706
149.6063,0.8714
150,0.8722
150.3937,0.873
150.7874,0.8738
151.1811,0.8746
151.5748,0.8753
151.9685,0.8761
152.3622,0.8769
152.7559,0.8777
153.1496,0.8785
153.5433,0.8793
153.937,0.8801
154.3307,0.8809
154.7244,0.8816
155.1181,0.8824
155.5118,0.8832
155.9055,0.884
156.2992,0.8848
156.6929,0.8856
157.0866,0.8864
157.4803,0.8872
157.874,0.888
158.2677,0.8888
158.6614,0.8896
159.0551,0.8904
159.4488,0.8912
159.8425,0.8921
160.2362,0.8929
160.6299,0.8937
161.0236,0.8945
161.4173,0.8953
161.811,0.8961
162.2047,0.897
162.5984,0.8978
162.9921,0.8986
163.3858,0.8994
163.7795,0.9002
164.1732,0.901
164.5669,0.9018
164.9606,0.9027
165.3543,0.9035
165.748,0.9043
166.1417,0.9051
166.5354,0.9059
166.9291,0.9067
167.3228,0.9076
167.7165,0.9084
168.1102,0.9092
168.5039,0.91
168.8976,0.9108
169.2913,0.9116
169.685,0.9125
170.0787,0.9133
170.4724,0.9141
170.8661,0.9149
171.2598,0.9157
171.6535,0.9165
172.0472,0.9173
172.4409,0.9182
172.8346,0.919
173.2283,0.9198
173.622,0.9206
174.0157,0.9214
174.4094,0.9222
174.8031,0.9231
175.1969,0.9239
175.5906,0.9247
175.9843,0.9255
176.378,0.9263
176.7717,0.9271
177.1654,0.928
177.5591,0.9288
177.9528,0.9296
178.3465,0.9304
178.7402,0.9312
179.1339,0.932
179.5276,0.9329
179.9213,0.9337
180.315,0.9345
180.7087,0.9353
181.1024,0.9361
181.4961,0.9369
181.8898,0.9377
182.2835,0.9386
182.6772,0.9394
183.0709,0.9402
183.4646,0.941
183.8583,0.9418
184.252,0.9426
184.6457,0.9435
185.0394,0.9443
185.4331,0.9451
185.8268,0.9459
186.2205,0.9467
186.6142,0.9475
187.0079,0.9484
187.4016,0.9492
187.7953,0.95
188.189,0.9508
188.5827,0.9516
188.9764,0.9524
189.3701,0.9532
189.7638,0.9541
190.1575,0.9549
190.5512,0.9557
190.9449,0.9565
191.3386,0.9573
191.7323,0.9581
192.126,0.959
192.5197,0.9598
192.9134,0.9606
193.3071,0.9614
193.7008,0.9622
194.0945,0.963
194.4882,0.9639
194.8819,0.9647
195.2756,0.9655
195.6693,0.9663
196.063,0.9671
196.4567,0.9679
196.8504,0.9688
197.2441,0.9691
197.6378,0.9694
198.0315,0.9697
198.4252,0.97
198.8189,0.9703
199.2126,0.9706
199.6063,0.9709
200,0.9713
200.3937,0.9716
200.7874,0.9719
201.1811,0.9722
201.5748,0.9725
201.9685,0.9728
202.3622,0.9731
202.7559,0.9734
203.1496,0.9738
203.5433,0.9741
203.937,0.9744
204.3307,0.9747
204.7244,0.975
205.1181,0.9753
205.5118,0.9756
205.9055,0.9759
206.2992,0.9763
206.6929,0.9766
207.0866,0.9769
207.4803,0.9772
207.874,0.9775
208.2677,0.9778
208.6614,0.9781
209.0551,0.9784
209.4488,0.9788
209.8425,0.9791
210.2362,0.9794
210.6299,0.9797
211.0236,0.98
211.4173,0.9803
211.811,0.9806
212.2047,0.9809
212.5984,0.9813
212.9921,0.9816
213.3858,0.9819
213.7795,0.9822
214.1732,0.9825
214.5669,0.9828
214.9606,0.9831
215.3543,0.9834
215.748,0.9838
216.1417,0.9841
216.5354,0.9844
216.9291,0.9847
217.3228,0.985
217.7165,0.9853
218.1102,0.9856
218.5039,0.9859
218.8976,0.9862
219.2913,0.9866
219.685,0.9869
220.0787,0.9872
220.4724,0.9875
220.8661,0.9878
221.2598,0.9881
221.6535,0.9884
222.0472,0.9887
222.4409,0.9891
222.8346,0.9894
223.2283,0.9897
223.622,0.99
224.0157,0.9903
224.4094,0.9906
224.8031,0.9909
225.1969,0.9912
225.5906,0.9916
225.9843,0.9919
226.378,0.9922
226.7717,0.9925
227.1654,0.9928
227.5591,0.9931
227.9528,0.9934
228.3465,0.9937
228.7402,0.9941
229.1339,0.9944
229.5276,0.9947
229.9213,0.995
230.315,0.9953
230.7087,0.9956
231.1024,0.9959
231.4961,0.9962
231.8898,0.9966
232.2835,0.9969
232.6772,0.9972
233.0709,0.9975
233.4646,0.9978
233.8583,0.9981
234.252,0.9984
234.6457,0.9987
235.0394,0.9991
235.4331,0.9994
235.8268,0.9997
2.362.205,10
2.366.142,10
2.370.079,10
2.374.016,10
2.377.953,10
238.189,10
2.385.827,10
2.389.764,10
2.393.701,10
2.397.638,10
2.401.575,10
2.405.512,10
2.409.449,10
2.413.386,10
2.417.323,10
242.126,10
2.425.197,10
2.429.134,10
2.433.071,10
2.437.008,10
2.440.945,10
2.444.882,10
2.448.819,10
2.452.756,10
2.456.693,10
246.063,10
2.464.567,10
2.468.504,10
2.472.441,10
2.476.378,10
2.480.315,10
2.484.252,10
2.488.189,10
2.492.126,10
2.496.063,10
250,1
2.503.937,10
2.507.874,10
2.511.811,10
2.515.748,10
2.519.685,10
2.523.622,10
2.527.559,10
2.531.496,10
2.535.433,10
253.937,10
2.543.307,10
2.547.244,10
2.551.181,10
2.555.118,10
2.559.055,10
2.562.992,10
2.566.929,10
2.570.866,10
2.574.803,10
257.874,10
2.582.677,10
2.586.614,10
2.590.551,10
2.594.488,10
2.598.425,10
2.602.362,10
2.606.299,10
2.610.236,10
2.614.173,10
261.811,10
2.622.047,10
2.625.984,10
2.629.921,10
2.633.858,10
2.637.795,10
2.641.732,10
2.645.669,10
2.649.606,10
2.653.543,10
265.748,10
2.661.417,10
2.665.354,10
2.669.291,10
2.673.228,10
2.677.165,10
2.681.102,10
2.685.039,10
2.688.976,10
2.692.913,10
269.685,10
2.700.787,10
2.704.724,10
2.708.661,10
2.712.598,10
2.716.535,10
2.720.472,10
2.724.409,10
2.728.346,10
2.732.283,10
273.622,10
2.740.157,10
2.744.094,10
2.748.031,10
2.751.969,10
2.755.906,10
2.759.843,10
276.378,10
2.767.717,10
2.771.654,10
2.775.591,10
2.779.528,10
2.783.465,10
2.787.402,10
2.791.339,10
2.795.276,10
2.799.213,10
280.315,10
2.807.087,10
2.811.024,10
2.814.961,10
2.818.898,10
2.822.835,10
2.826.772,10
2.830.709,10
2.834.646,10
2.838.583,10
284.252,10
2.846.457,10
2.850.394,10
2.854.331,10
2.858.268,10
2.862.205,10
2.866.142,10
2.870.079,10
2.874.016,10
2.877.953,10
288.189,10
