object_id,object_name,primary_object_type,secondary_object_type,max_damage_structure,max_damage_content,ground_elevtn,Aggregation Label: Census Block,ground_flht,extract_method,fn_damage_structure
574294749,574294749,RES,RES1-2SNB,446608.584,223304.292,6.776187893,4.5019E+14,1,centroid,RES1-2SNB
574371685,574371685,COM,COM1,760978.622,760978.622,13.02441316,4.5019E+14,1,centroid,COM1
574371689,574371689,COM,COM1,264613.452,264613.452,13.2897477,4.5019E+14,1,centroid,COM1
574371757,574371757,RES,RES3A,225441.693,112720.846,10.49075886,4.5019E+14,1,centroid,RES3A
574371763,574371763,RES,RES1-1SNB,132828.659,66414.3298,10.23436189,4.5019E+14,1,centroid,RES1-1SNB
574371767,574371767,RES,RES1-1SNB,129260.064,64630.0323,10.07256343,4.5019E+14,1,centroid,RES1-1SNB
574371775,574371775,PUB,EDU1,4064862.44,4064862.44,11.27495342,4.5019E+14,1,centroid,EDU1
574372549,574372549,PUB,REL1,1157873.47,1157873.47,10.78605999,4.5019E+14,1,centroid,REL1
574372697,574372697,RES,RES1-3SNB,482280.671,241140.335,6.954630282,4.5019E+14,1,centroid,RES1-3SNB
574372723,574372723,RES,RES1-3SNB,409107.41,204553.705,6.577213972,4.5019E+14,1,centroid,RES1-3SNB
574372733,574372733,RES,RES1-2SNB,463183.056,231591.528,8.44760231,4.5019E+14,1,centroid,RES1-2SNB
574372981,574372981,COM,COM1,1205651.02,1205651.02,10.40602796,4.5019E+14,1,centroid,COM1
574409638,574409638,PUB,REL1,1583802.27,1583802.27,9.857013629,4.5019E+14,1,centroid,REL1
574409641,574409641,COM,COM4,102441.885,102441.885,11.39003419,4.5019E+14,1,centroid,COM4
574409643,574409643,PUB,REL1,613979.03,613979.03,10.9167381,4.5019E+14,1,centroid,REL1
574409647,574409647,PUB,REL1,172184.809,172184.809,12.28408512,4.5019E+14,1,centroid,REL1
574409653,574409653,RES,RES1-1SNB,300509.216,150254.608,9.225777736,4.5019E+14,1,centroid,RES1-1SNB
574409654,574409654,COM,COM4,313255.045,313255.045,12.14652667,4.5019E+14,1,centroid,COM4
574409898,574409898,RES,RES1-3SNB,258414.287,129207.143,10.61154979,4.5019E+14,1,centroid,RES1-3SNB
574421788,574421788,COM,COM3,1371978.25,1371978.25,11.5409106,4.5019E+14,1,centroid,COM3
574421819,574421819,COM,COM2,196834.54,196834.54,12.55276988,4.5019E+14,1,centroid,COM2
574421943,574421943,RES,RES3E,781174.616,390587.308,9.506654074,4.5019E+14,1,centroid,RES3E
574431322,574431322,PUB,GOV1,1759660.83,1759660.83,11.28784429,4.5019E+14,1,centroid,GOV1
574446523,574446523,COM,COM1,514804.223,514804.223,12.06347909,4.5019E+14,1,centroid,COM1
574446531,574446531,RES,RES1-3SNB,136066.037,68033.0188,11.11967236,4.5019E+14,1,centroid,RES1-3SNB
574446533,574446533,COM,COM1,84050.5865,84050.5865,11.11967236,4.5019E+14,1,centroid,COM1
574446559,574446559,COM,COM2,889532.025,889532.025,12.17323064,4.5019E+14,1,centroid,COM2
574460969,574460969,RES,RES3A,266985.928,133492.964,12.66081699,4.5019E+14,1,centroid,RES3A
574460979,574460979,RES,RES3A,310371.142,155185.571,12.66081699,4.5019E+14,1,centroid,RES3A
574460999,574460999,RES,RES3A,310371.142,155185.571,12.66081699,4.5019E+14,1,centroid,RES3A
574461043,574461043,RES,RES3A,423287.305,211643.652,13.02913616,4.5019E+14,1,centroid,RES3A
574461051,574461051,COM,RES4,143141.79,71570.8953,8.334324539,4.5019E+14,1,centroid,RES4
574476706,574476706,RES,RES1-1SNB,170725.281,85362.6408,5.867157192,4.5019E+14,1,centroid,RES1-1SNB
574476763,574476763,RES,RES1-1SNB,108849.157,54424.5787,5.867157192,4.5019E+14,1,centroid,RES1-1SNB
574476769,574476769,RES,RES1-1SNB,110735.624,55367.8123,5.867157192,4.5019E+14,1,centroid,RES1-1SNB
574476797,574476797,RES,RES1-1SNB,110735.624,55367.8123,5.867157192,4.5019E+14,1,centroid,RES1-1SNB
574476803,574476803,RES,RES1-1SNB,206797.159,103398.579,5.867157192,4.5019E+14,1,centroid,RES1-1SNB
574486863,574486863,RES,RES1-1SNB,187137.546,93568.7731,6.445220186,4.5019E+14,1,centroid,RES1-1SNB
574486871,574486871,RES,RES1-1SNB,206797.159,103398.579,8.357450673,4.5019E+14,1,centroid,RES1-1SNB
574486886,574486886,RES,RES1-2SNB,224291.768,112145.884,8.586842519,4.5019E+14,1,centroid,RES1-2SNB
574486887,574486887,RES,RES1-3SNB,438615.656,219307.828,8.379336216,4.5019E+14,1,centroid,RES1-3SNB
574486895,574486895,RES,RES3A,472384.782,236192.391,11.00190156,4.5019E+14,1,centroid,RES3A
574486896,574486896,RES,RES1-3SNB,370593.042,185296.521,11.17246863,4.5019E+14,1,centroid,RES1-3SNB
574486897,574486897,RES,RES1-2SNB,281891.83,140945.915,8.012788759,4.5019E+14,1,centroid,RES1-2SNB
574486908,574486908,RES,RES1-2SNB,328404.131,164202.065,5.290348477,4.5019E+14,1,centroid,RES1-2SNB
574486920,574486920,RES,RES1-1SNB,91305.0124,45652.5062,6.603493989,4.5019E+14,1,centroid,RES1-1SNB
574486926,574486926,RES,RES1-2SNB,230007.096,115003.548,6.266001842,4.5019E+14,1,centroid,RES1-2SNB
574486928,574486928,RES,RES1-1SNB,195320.206,97660.1031,6.266001842,4.5019E+14,1,centroid,RES1-1SNB
574486930,574486930,RES,RES1-3SNB,646413.507,323206.753,6.34663942,4.5019E+14,1,centroid,RES1-3SNB
574486966,574486966,RES,RES1-1SNB,123142.068,61571.034,7.260584375,4.5019E+14,1,centroid,RES1-1SNB
574486985,574486985,RES,RES1-1SNB,65283.4512,32641.7256,12.18342132,4.5019E+14,1,centroid,RES1-1SNB
574486987,574486987,RES,RES1-2SNB,146061.492,73030.7462,11.17211194,4.5019E+14,1,centroid,RES1-2SNB
574486988,574486988,RES,RES1-1SNB,65283.4512,32641.7256,12.18342132,4.5019E+14,1,centroid,RES1-1SNB
574486992,574486992,RES,RES1-1SNB,91950.084,45975.042,10.76827012,4.5019E+14,1,centroid,RES1-1SNB
574486998,574486998,RES,RES1-2SNB,162822.486,81411.2432,9.859843676,4.5019E+14,1,centroid,RES1-2SNB
574487001,574487001,RES,RES1-1SNB,130168.24,65084.12,10.61283888,4.5019E+14,1,centroid,RES1-1SNB
574487003,574487003,RES,RES1-1SNB,130168.24,65084.12,10.32820948,4.5019E+14,1,centroid,RES1-1SNB
574487013,574487013,RES,RES1-1SNB,115262.027,57631.0136,12.73452259,4.5019E+14,1,centroid,RES1-1SNB
