object_id,object_name,primary_object_type,secondary_object_type,max_damage_structure,max_damage_content,ground_elevtn,X Coordinate,Y Coordinate,aggregation_label: Census Block,ground_flht,extract_method,fn_damage_structure,Zoning_map
574421618,574421618,COM,COM4,268248.679,268248.679,10.328060859861374,-79.92661232,32.775353353,450190002001010,1,centroid,COM4,DR-1F
574421620,574421620,COM,COM4,224412.195,224412.195,6.324381933693886,-79.92627211,32.775566685,450190002001010,1,centroid,COM4,DR-1F
574421665,574421665,COM,COM1,85054.7643,85054.7643,12.960567350940703,-79.92885302,32.77702994,450190002001029,1,centroid,COM1,LB
574421687,574421687,COM,COM3,285441.363,285441.363,13.54457555644989,-79.92846361,32.776973025,450190002001029,1,centroid,COM3,LB
574421696,574421696,COM,COM4,707527.894,707527.894,10.52724206749916,-79.9290929,32.777519764,450190002001029,1,centroid,COM4,SR-5
574421698,574421698,COM,COM5,243965.928,243965.928,10.52724206749916,-79.9290929,32.777519764,450190002001029,1,centroid,COM5,SR-5
574421706,574421706,RES,RES3A,439108.913,219554.456,12.670249699869157,-79.92801597,32.777036402,450190002001029,1,centroid,RES3A,LB
574421710,574421710,COM,COM5,783641.246,783641.246,12.670249699869157,-79.92801597,32.777036402,450190002001029,1,centroid,COM5,LB
574431296,574431296,COM,COM4,199984.838,199984.838,10.224953425445555,-79.9266425,32.7772185,450190002001033,1,centroid,COM4,LB
574431300,574431300,COM,COM8,154010.964,154010.964,10.116598904809951,-79.92646291,32.77728981,450190002001033,1,centroid,COM8,LB
574431302,574431302,IND,IND6,206401.41,206401.41,10.116598904809951,-79.92646291,32.77728981,450190002001033,1,centroid,IND6,LB
574431320,574431320,COM,COM5,219135.275,219135.275,6.7361033772945405,-79.92857452,32.78132147,450190051002042,1,centroid,COM5,GB
574435919,574435919,COM,COM3,182621.435,182621.435,6.192710419449806,-79.92592791,32.779129789,450190051002027,1,centroid,COM3,LB
574435932,574435932,COM,COM4,183926.52,183926.52,7.059852038793564,-79.92692192,32.77999463,450190051002027,1,centroid,COM4,GB
574435936,574435936,COM,RES4,454541.335,227270.667,7.051178076496124,-79.92644898,32.780051895,450190051002027,1,centroid,RES4,GB
574435940,574435940,COM,COM5,354765.698,354765.698,7.051178076496124,-79.92644898,32.780051895,450190051002027,1,centroid,COM5,GB
574435942,574435942,COM,RES4,13565375.1,6782687.56,6.651673629932404,-79.92606469,32.77972236,450190051002027,1,centroid,RES4,MU-2
574435944,574435944,COM,COM8,426852.395,426852.395,6.651673629932404,-79.92606469,32.77972236,450190051002027,1,centroid,COM8,MU-2
574437145,574437145,COM,COM4,509307.96,509307.96,9.078115437116622,-79.92640322,32.776823374,450190002001034,1,centroid,COM4,LB
574437147,574437147,COM,COM4,1195605.31,1195605.31,11.64761778289795,-79.92686154,32.776849372,450190002001034,1,centroid,COM4,LB
574437149,574437149,COM,COM8,639814.182,639814.182,11.64761778289795,-79.92686154,32.776849372,450190002001034,1,centroid,COM8,LB
574446475,574446475,PUB,REL1,1440619.24,1440619.24,8.174296231412887,-79.92912588,32.779650912,450190051002059,1,centroid,REL1,SR-5
574451294,574451294,COM,COM4,2408173.88,2408173.88,7.781633021593094,-79.92643612,32.780279013,450190051002010,1,centroid,COM4,GB
574451296,574451296,COM,COM1,103659.615,103659.615,7.781633021593094,-79.92643612,32.780279013,450190051002010,1,centroid,COM1,GB
574451476,574451476,PUB,REL1,176708.581,176708.581,6.471536185131073,-79.93007513,32.780377243,450190051002051,1,centroid,REL1,GB
574451482,574451482,COM,COM8,125291.562,125291.562,6.471536185131073,-79.93007513,32.780377243,450190051002051,1,centroid,COM8,GB
574451484,574451484,PUB,GOV1,534138.836,534138.836,7.787686569633484,-79.93057458,32.779847015,450190051002051,1,centroid,GOV1,GB
574451486,574451486,COM,COM5,2014764.32,2014764.32,7.787686569633484,-79.93057458,32.779847015,450190051002051,1,centroid,COM5,GB
574451488,574451488,COM,COM2,527204.302,527204.302,7.787686569633484,-79.93057458,32.779847015,450190051002051,1,centroid,COM2,GB
574451489,574451489,COM,COM4,878673.837,878673.837,7.787686569633484,-79.93057458,32.779847015,450190051002051,1,centroid,COM4,GB
574451497,574451497,IND,IND6,150196.616,150196.616,9.38372770310402,-79.93092389,32.780416852,450190051002051,1,centroid,IND6,GB
574451498,574451498,COM,COM2,1621625.85,1621625.85,7.93391350730896,-79.93087903,32.780089433,450190051002051,1,centroid,COM2,GB
574453712,574453712,COM,COM5,1545127.17,1545127.17,7.096875754499435,-79.9265575,32.7779802,450190002001006,1,centroid,COM5,LB
574453720,574453720,IND,IND6,78933.796,78933.796,7.096875754499435,-79.9265575,32.7779802,450190002001006,1,centroid,IND6,LB
574454475,574454475,COM,COM8,2505325.13,2505325.13,8.118152878189086,-79.93069936,32.78185867,450190051002054,1,centroid,COM8,GB
574454477,574454477,COM,COM3,123561.439,123561.439,8.118152878189086,-79.93069936,32.78185867,450190051002054,1,centroid,COM3,GB
574455177,574455177,PUB,REL1,199618.895,199618.895,8.084265055246354,-79.92675798,32.779623429,450190051002028,1,centroid,REL1,GB
574455180,574455180,COM,COM2,414960.991,414960.991,8.084265055246354,-79.92675798,32.779623429,450190051002028,1,centroid,COM2,GB
574457240,574457240,COM,COM4,1391295.05,1391295.05,-4.999869298858642,-79.92452807,32.775253585,450190002001001,1,centroid,COM4,DR-1F
574457618,574457618,COM,COM8,207879.805,207879.805,7.751550665922164,-79.92706811,32.773498108,450190002001013,1,centroid,COM8,DR-1F
574461005,574461005,COM,RES4,143141.79,71570.8953,7.855873659667969,-79.93014784,32.782312749,450190051002045,1,centroid,RES4,CT
574461007,574461007,COM,COM4,177990.619,177990.619,9.031458765716552,-79.93015454,32.781828328,450190051002054,1,centroid,COM4,GB
574461027,574461027,PUB,REL1,253972.383,253972.383,10.80505604039192,-79.92996582,32.778916309,450190051002058,1,centroid,REL1,SR-5
574461035,574461035,RES,RES3A,455033.853,227516.926,9.464215878095628,-79.92820274,32.778662139,450190051002049,1,centroid,RES3A,SR-5
574461058,574461058,RES,RES3A,266985.928,133492.964,12.135287044906615,-79.9297417,32.776818232,450190002001028,1,centroid,RES3A,LB
574461060,574461060,RES,RES3A,266985.928,133492.964,12.135287044906615,-79.9297417,32.776818232,450190002001028,1,centroid,RES3A,LB
574461061,574461061,RES,RES3A,266985.928,133492.964,12.135287044906615,-79.9297417,32.776818232,450190002001028,1,centroid,RES3A,LB
574461067,574461067,RES,RES3A,266985.928,133492.964,12.135287044906615,-79.9297417,32.776818232,450190002001028,1,centroid,RES3A,LB
574461087,574461087,RES,RES3A,266985.928,133492.964,12.856005782165528,-79.92799481,32.777083557,450190002001029,1,centroid,RES3A,LB
574461089,574461089,RES,RES3A,266985.928,133492.964,12.856005782165528,-79.92799481,32.777083557,450190002001029,1,centroid,RES3A,LB
574461283,574461283,PUB,GOV1,177990.619,177990.619,5.085602995643615,-79.9260343,32.781508757,450190051002033,1,centroid,GOV1,GB
