Country,ISO A3 code,Construction Cost Residential (2010 €),Construction Cost Commercial (2010 €),Construction Cost Industrial (2010 €),GDP per capita (2010 US$)
Kenya,KEN,341.5552543,394.0884321,288.6809109,977.7780694
Kiribati,KIR,406.770906,463.452974,334.5239165,1539.047436
"Korea, Dem. Rep.",PRK,432.0672802,490.1355459,351.9873315,1800
"Korea, Rep.",KOR,1136.233273,1202.061951,795.6253707,22151.20912
Kosovo,KOS,544.640388,607.5993904,427.9015587,3283.429596
Kuwait,KWT,1407.040382,1465.76952,952.8278994,38584.4796
Kyrgyz Republic,KGZ,327.9761899,379.5304071,278.9699811,880.0377751
Lao PDR,LAO,360.2505816,414.063661,301.9526333,1122.852316
Latvia,LVA,881.092001,949.4050662,642.0248841,11446.50818
Lebanon,LBN,794.6826286,862.6988576,588.4935637,8755.849968
Lesotho,LSO,355.2721427,408.7518639,298.4292267,1083.012065
Liberia,LBR,223.8832668,266.3135253,202.1597549,326.6042804
Libya,LBY,907.9771115,976.2546195,658.5095224,12375.44953
Liechtenstein,LIE,0,0,0,
Lithuania,LTU,892.9915407,961.2960566,649.3306751,11852.1696
Luxembourg,LUX,2052.734797,2080.914052,1310.278866,102856.9717
"Macao SAR, China",MAC,1590.582595,1642.374927,1056.64309,53045.87903
"Macedonia, FYR",MKD,611.8979047,676.919248,472.0595594,4442.299972
Madagascar,MDG,245.3277238,289.9020277,218.3740678,414.1427872
Malawi,MWI,232.3339239,275.6277399,208.5771733,359.5795268
Malaysia,MYS,794.6264382,862.6422601,588.4584662,8754.24282
Maldives,MDV,710.7223976,777.7952946,535.5984431,6552.484491
Mali,MLI,295.8996139,344.9645921,255.7741553,673.6946614
Malta,MLT,1085.946695,1152.621327,765.8206764,19695.25572
Marshall Islands,MHL,534.4631835,597.057974,421.1474927,3126.516365
Mauritania,MRT,341.4708011,393.9980211,288.6207041,977.1505551
Mauritius,MUS,752.0055697,819.6277895,561.7224544,7586.893454
Mexico,MEX,800.4125209,868.4687473,592.070518,8920.689016
"Micronesia, Fed. Sts.",FSM,514.928846,576.7836822,408.1267129,2838.448547
Moldova,MDA,416.0184836,473.2208128,340.9271882,1631.535832
Monaco,MCO,2344.468082,2353.968073,1465.68601,145229.8379
Mongolia,MNG,473.7078907,533.8159787,380.3916466,2285.645378
Montenegro,MNE,714.2011167,781.326934,537.8087674,6636.070538
Morocco,MAR,513.8288217,575.640357,407.391207,2822.733739
Mozambique,MOZ,247.5910579,292.3827458,220.0721313,424.134902
Myanmar,MMR,377.7509832,432.6943819,314.2786109,1270
Namibia,NAM,649.0906145,715.0127142,496.1483559,5177.681179
Nepal,NPL,282.2156901,330.1378607,245.7606959,595.7716261
Netherlands,NLD,1558.804244,1611.907838,1038.809007,50338.25483
New Caledonia,NCL,0,0,0,
New Zealand,NZL,1322.427218,1383.804681,904.265806,32846.45443
Nicaragua,NIC,406.3781041,463.0377209,334.2514286,1535.192167
Niger,NER,232.3890957,275.6884683,208.6189492,359.801242
Nigeria,NGA,475.7141306,535.913304,381.7500316,2310.860518
Northern Mariana Islands,MNP,0,0,0,
Norway,NOR,1916.796979,1952.742448,1236.702354,86096.13602
Oman,OMN,1111.53211,1177.796506,781.0114561,20922.65677
Pakistan,PAK,347.5813879,400.5355391,292.970969,1023.195756
Palau,PLW,825.0494476,893.243978,607.4051799,9651.133366
Panama,PAN,761.3438091,829.0669876,567.6001738,7833.903551
Papua New Guinea,PNG,390.2667108,445.9801458,323.0388349,1382.143749
Paraguay,PRY,532.7678328,595.3005511,420.0204319,3100.835119
Peru,PER,644.1248989,709.9360463,492.9449479,5075.47667
Philippines,PHL,461.5050106,521.0451568,372.1097517,2135.918407
Poland,POL,911.0387691,979.3085581,660.3818969,12484.07315
Portugal,PRT,1143.847869,1209.534515,800.1203128,22538.65408
Puerto Rico,PRI,1216.361923,1280.519692,842.6961812,26437.99218
Qatar,QAT,1784.525908,1827.396678,1164.321909,71510.15575
Romania,ROU,772.636806,840.4709292,574.6932186,8139.146673
Russian Federation,RUS,858.7993592,927.0970961,628.2963785,10709.76936
Rwanda,RWA,268.9663648,315.7325058,235.9925769,525.8549278
Samoa,WSM,555.5411892,618.8745482,435.1139652,3456.76966
San Marino,SMR,0,0,0,
Sao Tome and Principe,STP,360.8836083,414.7386942,302.4000991,1127.981667
Saudi Arabia,SAU,1078.070945,1144.863283,761.1333947,19326.58255
Senegal,SEN,344.3388056,397.0674482,290.6640058,998.5995764
Serbia,SCG,659.6547978,725.8036465,502.9506504,5399.29762
Seychelles,SYC,862.8920742,931.1957262,630.8209406,10842.77306
Sierra Leone,SLE,252.9154757,298.2121289,224.0572387,448.2215321
Singapore,SGP,1512.773171,1567.696315,1012.874806,46569.68843
Sint Maarten (Dutch part),SXM,0,0,0,
Slovak Republic,SVK,1014.601583,1082.190305,723.1595686,16509.89667
Slovenia,SVN,1160.829551,1226.186556,810.1278932,23417.64466
Solomon Islands,SLB,380.5634073,435.6825729,316.2510383,1294.692732
Somalia,SOM,212.14785,253.3365088,193.1844317,284
South Africa,ZAF,736.0334895,803.4633501,551.6426293,7175.624804
South Sudan,SSD,411.1219459,468.0507742,337.5395011,1582.150503
Spain,ESP,1289.027494,1351.347305,884.9640521,30736.00228
Sri Lanka,LKA,482.7017419,543.2131961,386.4742332,2400.015575
St. Kitts and Nevis,KNA,931.5511801,999.7502804,672.9011663,13226.95231
St. Lucia,LCA,729.6105529,796.9559492,547.5795542,7014.196449
St. Martin (French part),MAF,0,0,0,
St. Vincent and the Grenadines,VCT,697.1130351,763.9668472,526.934895,6231.713226
Sudan,SDN,396.4297508,452.5110168,327.3363534,1439.523185
Suriname,SUR,779.2555534,847.1491,578.8428506,8321.392197
Swaziland,SWZ,543.2422879,606.1521047,426.9748931,3261.593263
Sweden,SWE,1579.319664,1631.581807,1050.328746,52076.25591
Switzerland,CHE,1810.809955,1852.35646,1178.769909,74276.71842
Syrian Arab Republic,SYR,645.3219567,711.1601083,493.7175284,5100
Tajikistan,TJK,306.7523615,356.6884442,263.6642858,739.7321918
Tanzania,TZA,268.7374388,315.4831622,235.8231478,524.6937952
Thailand,THA,630.5612984,696.0549175,484.1751854,4802.662758
Timor-Leste,TLS,327.372186,378.8818605,278.536589,875.8365693
Togo,TGO,264.4345572,310.7936467,232.6343396,503.161824
Tonga,TON,561.0692414,624.5863264,438.7630607,3546.77782
Trinidad and Tobago,TTO,993.4224002,1061.214673,710.4061679,15630.05045
Tunisia,TUN,599.4428035,664.1255927,463.942002,4211.356086
