Object ID,Object Name,Primary Object Type,Secondary Object Type,Max Potential Damage: Structure,Max Potential Damage: Content,Ground Elevation,X Coordinate,Y Coordinate,Aggregation Label: Census Block,Finished Floor Height,Extraction Method,Damage Function: Structure,Damage Function: Content
574269161,574269161,RES,RES3A,381546.952,190773.476,5.375382875,-79.93823689,32.77459129,4.5019E+14,1,centroid,RES3A,RES3A
574269220,574269220,COM,RES4,280524.943,140262.471,6.678856321,-79.93644823,32.77578171,4.5019E+14,1,centroid,RES4,RES4
574269272,574269272,RES,RES1-2SNB,217845.722,108922.861,4.088809145,-79.93836411,32.77738304,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574296081,574296081,RES,RES1-3SWB,475225.361,237612.68,4.719911671,-79.94091432,32.77205021,4.5019E+14,1,centroid,RES1-3SWB,RES1-3SWB
574372046,574372046,RES,RES3B,496330.125,248165.062,4.211700316,-79.93987896,32.77249393,4.5019E+14,1,centroid,RES3B,RES3B
574372068,574372068,RES,RES3A,460950.298,230475.149,4.229275083,-79.94003803,32.77298592,4.5019E+14,1,centroid,RES3A,RES3A
574371888,574371888,RES,RES1-2SNB,358610.211,179305.105,4.789232188,-79.93657736,32.77201619,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574371912,574371912,RES,RES1-3SNB,540789.858,270394.929,5.742584263,-79.93692284,32.77330102,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
574371914,574371914,RES,RES1-2SNB,519810.598,259905.299,5.887425119,-79.93659796,32.77334433,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574371918,574371918,RES,RES1-2SNB,309680.852,154840.426,5.631394219,-79.93692533,32.77351507,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574372950,574372950,RES,RES1-1SNB,171577.527,85788.7635,9.094305686,-79.93540488,32.77629486,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
574431715,574431715,RES,RES1-3SWB,412479.191,206239.595,6.082707776,-79.93577778,32.77169026,4.5019E+14,1,centroid,RES1-3SWB,RES1-3SWB
574476702,574476702,RES,RES1-2SNB,259838.319,129919.159,6.078611325,-79.93406237,32.77031303,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574486804,574486804,RES,RES1-1SNB,139556.686,69778.3432,5.352474979,-79.93832432,32.77745034,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
