Secondary Object Type,Object Name,lanes,Object ID,Primary Object Type,Damage Function: Structure,Max Potential Damage: Structure,Segment Length [m]
secondary,Meeting Street,4,130,roads,roads,26472.213128744737,180.93977696265813
secondary,Spring Street,,131,roads,roads,4153.280193752185,56.77603064512502
tertiary,Courteney Drive,4,132,roads,roads,8799.372562254046,60.144442819431085
tertiary,President Street,,133,roads,roads,1460.5815934661487,19.96639317402325
tertiary,President Street,,134,roads,roads,6927.824071583225,94.70450666534374
tertiary,Courteney Drive,,135,roads,roads,11614.61759457949,158.7737532067406
tertiary,Ashley Avenue,2,136,roads,roads,26605.062682855645,363.69562941349034
tertiary,Beaufain Street,1,137,roads,roads,7525.372604281738,102.87309443735971
tertiary,Hagood Avenue,,138,roads,roads,14108.07269417057,192.85969890325035
tertiary,Courteney Drive,,139,roads,roads,3509.434287180615,47.974550076287926
secondary,Spring Street,,140,roads,roads,2382.011322118774,32.562490733250954
tertiary,King Street,2,141,roads,roads,16590.853167997273,226.7997206911263
primary,Calhoun Street,4,142,roads,roads,2623.7962378272946,17.93386536135235
primary,Calhoun Street,4,143,roads,roads,2786.292831237522,19.04454308315235
tertiary,Broad Street,2,144,roads,roads,1266.2120683978271,17.309329456444488
tertiary,Logan Street,1,145,roads,roads,11928.19254694216,163.06037493085847
tertiary,Broad Street,2,146,roads,roads,21398.801478486355,292.525173317016
secondary,Rutledge Avenue,3,147,roads,roads,19492.592864715974,177.64465646613422
motorway,Calhoun Street,1,148,roads,roads,1243.3131972458007,16.996298081334764
