Water Depth [ft],Factor
5.8727,0.6862
5.9055,0.6882
5.9383,0.6901
5.9711,0.6921
6.0039,0.6941
6.0367,0.6961
6.0696,0.698
6.1024,0.7
6.1352,0.702
6.168,0.704
6.2008,0.7059
6.2336,0.7079
6.2664,0.7099
6.2992,0.7119
6.332,0.7138
6.3648,0.7158
6.3976,0.7178
6.4304,0.7198
6.4633,0.7217
6.4961,0.7237
6.5289,0.7257
6.5617,0.7277
6.5945,0.7296
6.6273,0.7316
6.6601,0.7336
6.6929,0.7356
6.7257,0.7375
6.7585,0.7395
6.7913,0.7415
6.8241,0.7434
6.857,0.7454
6.8898,0.7474
6.9226,0.7493
6.9554,0.7513
6.9882,0.7533
7.021,0.7552
7.0538,0.7572
7.0866,0.7591
7.1194,0.7611
7.1522,0.7631
7.185,0.765
7.2178,0.767
7.2507,0.7677
7.2835,0.7685
7.3163,0.7692
7.3491,0.77
7.3819,0.7707
7.4147,0.7715
7.4475,0.7722
7.4803,0.7729
7.5131,0.7737
7.5459,0.7744
7.5787,0.7752
7.6115,0.7759
7.6444,0.7767
7.6772,0.7774
7.71,0.7781
7.7428,0.7789
7.7756,0.7796
7.8084,0.7804
7.8412,0.7811
7.874,0.7819
7.9068,0.7826
7.9396,0.7833
7.9724,0.7841
8.0052,0.7848
8.0381,0.7856
8.0709,0.7863
8.1037,0.7871
8.1365,0.7878
8.1693,0.7886
8.2021,0.7893
8.2349,0.79
8.2677,0.7908
8.3005,0.7915
8.3333,0.7923
8.3661,0.793
8.399,0.7938
8.4318,0.7945
8.4646,0.7952
8.4974,0.796
8.5302,0.7967
8.563,0.7975
8.5958,0.7982
8.6286,0.799
8.6614,0.7997
8.6942,0.8004
8.727,0.8012
8.7598,0.8019
8.7927,0.8027
8.8255,0.8034
8.8583,0.8042
8.8911,0.8049
8.9239,0.8057
8.9567,0.8064
8.9895,0.8071
9.0223,0.8079
9.0551,0.8086
9.0879,0.8094
9.1207,0.8101
9.1535,0.8109
9.1864,0.8116
9.2192,0.8123
9.252,0.8131
9.2848,0.8138
9.3176,0.8146
9.3504,0.8153
9.3832,0.8161
9.416,0.8168
9.4488,0.8175
9.4816,0.8183
9.5144,0.819
9.5472,0.8198
9.5801,0.8205
9.6129,0.8213
9.6457,0.822
9.6785,0.8228
9.7113,0.8235
9.7441,0.8242
9.7769,0.825
9.8097,0.8257
9.8425,0.8265
9.8753,0.8272
9.9081,0.828
9.9409,0.8287
9.9738,0.8294
10.0066,0.8302
10.0394,0.8309
10.0722,0.8317
10.105,0.8324
10.1378,0.8331
10.1706,0.8339
10.2034,0.8346
10.2362,0.8354
10.269,0.8361
10.3018,0.8368
10.3346,0.8376
10.3675,0.8383
10.4003,0.839
10.4331,0.8398
10.4659,0.8405
10.4987,0.8412
10.5315,0.842
10.5643,0.8427
10.5971,0.8435
10.6299,0.8442
10.6627,0.8449
10.6955,0.8457
10.7283,0.8464
10.7612,0.8471
10.794,0.8479
10.8268,0.8486
10.8596,0.8494
10.8924,0.8501
10.9252,0.8508
10.958,0.8516
10.9908,0.8523
11.0236,0.853
11.0564,0.8538
11.0892,0.8545
11.122,0.8553
11.1549,0.856
11.1877,0.8567
11.2205,0.8575
11.2533,0.8582
11.2861,0.8589
11.3189,0.8597
11.3517,0.8604
11.3845,0.8612
11.4173,0.8619
11.4501,0.8626
11.4829,0.8634
11.5157,0.8641
11.5486,0.8648
11.5814,0.8656
11.6142,0.8663
11.647,0.8671
11.6798,0.8678
11.7126,0.8685
11.7454,0.8693
11.7782,0.87
11.811,0.8707
11.8438,0.8715
11.8766,0.8722
11.9094,0.873
11.9423,0.8737
11.9751,0.8744
12.0079,0.8752
12.0407,0.8759
12.0735,0.8766
12.1063,0.8774
12.1391,0.8781
12.1719,0.8788
12.2047,0.8796
12.2375,0.8803
12.2703,0.8811
12.3031,0.8818
12.336,0.8825
12.3688,0.8833
12.4016,0.884
12.4344,0.8847
12.4672,0.8855
12.5,0.8862
12.5328,0.887
12.5656,0.8877
12.5984,0.8884
12.6312,0.8892
12.664,0.8899
12.6969,0.8906
12.7297,0.8914
12.7625,0.8921
12.7953,0.8929
12.8281,0.8936
12.8609,0.8943
12.8937,0.8951
12.9265,0.8958
12.9593,0.8965
12.9921,0.8973
13.0249,0.898
13.0577,0.8988
13.0906,0.8995
13.1234,0.9002
13.1562,0.901
13.189,0.9017
13.2218,0.9024
13.2546,0.9032
13.2874,0.9039
13.3202,0.9046
13.353,0.9053
13.3858,0.9061
13.4186,0.9068
13.4514,0.9075
13.4843,0.9082
13.5171,0.9089
13.5499,0.9096
13.5827,0.9103
13.6155,0.911
13.6483,0.9118
13.6811,0.9125
