Water Depth [ft],Factor
0.0,0.0
0.0328,0.0046
0.0656,0.0093
0.0984,0.0139
0.1312,0.0186
0.164,0.0232
0.1969,0.0279
0.2297,0.0325
0.2625,0.0372
0.2953,0.0418
0.3281,0.0464
0.3609,0.0511
0.3937,0.0557
0.4265,0.0604
0.4593,0.065
0.4921,0.0697
0.5249,0.0743
0.5577,0.079
0.5906,0.0836
0.6234,0.0882
0.6562,0.0929
0.689,0.0975
0.7218,0.1022
0.7546,0.1068
0.7874,0.1115
0.8202,0.1161
0.853,0.1208
0.8858,0.1254
0.9186,0.13
0.9514,0.1347
0.9843,0.1393
1.0171,0.144
1.0499,0.1486
1.0827,0.1533
1.1155,0.1579
1.1483,0.1626
1.1811,0.1672
1.2139,0.1718
1.2467,0.1765
1.2795,0.1811
1.3123,0.1858
1.3451,0.1904
1.378,0.1951
1.4108,0.1997
1.4436,0.2044
1.4764,0.209
1.5092,0.2136
1.542,0.2183
1.5748,0.2229
1.6076,0.2276
1.6404,0.2322
1.6732,0.2355
1.706,0.2388
1.7388,0.2421
1.7717,0.2454
1.8045,0.2486
1.8373,0.2519
1.8701,0.2552
1.9029,0.2585
1.9357,0.2618
1.9685,0.2651
2.0013,0.2683
2.0341,0.2716
2.0669,0.2749
2.0997,0.2782
2.1325,0.2815
2.1654,0.2847
2.1982,0.288
2.231,0.2913
2.2638,0.2946
2.2966,0.2979
2.3294,0.3012
2.3622,0.3044
2.395,0.3077
2.4278,0.311
2.4606,0.3143
2.4934,0.3176
2.5262,0.3209
2.5591,0.3241
2.5919,0.3274
2.6247,0.3307
2.6575,0.334
2.6903,0.3373
2.7231,0.3406
2.7559,0.3438
2.7887,0.3471
2.8215,0.3504
2.8543,0.3537
2.8871,0.357
2.9199,0.3603
2.9528,0.3635
2.9856,0.3668
3.0184,0.3701
3.0512,0.3734
3.084,0.3767
3.1168,0.38
3.1496,0.3832
3.1824,0.3865
3.2152,0.3898
3.248,0.3931
3.2808,0.3964
3.3136,0.4
3.3465,0.4036
3.3793,0.4072
3.4121,0.4108
3.4449,0.4144
3.4777,0.418
3.5105,0.4217
3.5433,0.4253
3.5761,0.4289
3.6089,0.4325
3.6417,0.4361
3.6745,0.4397
3.7073,0.4433
3.7402,0.4469
3.773,0.4506
3.8058,0.4542
3.8386,0.4578
3.8714,0.4614
3.9042,0.465
3.937,0.4686
3.9698,0.4722
4.0026,0.4758
4.0354,0.4794
4.0682,0.4831
4.101,0.4867
4.1339,0.4903
4.1667,0.4939
4.1995,0.4975
4.2323,0.5011
4.2651,0.5047
4.2979,0.5083
4.3307,0.512
4.3635,0.5156
4.3963,0.5192
4.4291,0.5228
4.4619,0.5264
4.4948,0.53
4.5276,0.5336
4.5604,0.5372
4.5932,0.5408
4.626,0.5445
4.6588,0.5481
4.6916,0.5517
4.7244,0.5553
4.7572,0.5589
4.79,0.5625
4.8228,0.5661
4.8556,0.5697
4.8885,0.5734
4.9213,0.577
4.9541,0.579
4.9869,0.5811
5.0197,0.5831
5.0525,0.5852
5.0853,0.5873
5.1181,0.5893
5.1509,0.5914
5.1837,0.5934
5.2165,0.5955
5.2493,0.5975
5.2822,0.5996
5.315,0.6017
5.3478,0.6037
5.3806,0.6058
5.4134,0.6078
5.4462,0.6099
5.479,0.6119
5.5118,0.614
5.5446,0.6161
5.5774,0.6181
5.6102,0.6202
5.643,0.6222
5.6759,0.6243
5.7087,0.6263
5.7415,0.6284
5.7743,0.6305
5.8071,0.6325
5.8399,0.6346
5.8727,0.6366
5.9055,0.6387
5.9383,0.6407
5.9711,0.6428
6.0039,0.6449
6.0367,0.6469
6.0696,0.649
6.1024,0.651
6.1352,0.6531
6.168,0.6551
6.2008,0.6572
6.2336,0.6593
6.2664,0.6613
6.2992,0.6634
6.332,0.6654
6.3648,0.6675
6.3976,0.6695
6.4304,0.6716
6.4633,0.6737
6.4961,0.6757
6.5289,0.6778
6.5617,0.6798
6.5945,0.6811
6.6273,0.6823
6.6601,0.6836
6.6929,0.6848
6.7257,0.686
6.7585,0.6873
6.7913,0.6885
6.8241,0.6898
6.857,0.691
6.8898,0.6923
6.9226,0.6935
6.9554,0.6948
6.9882,0.696
7.021,0.6972
7.0538,0.6985
7.0866,0.6997
7.1194,0.701
7.1522,0.7022
7.185,0.7035
7.2178,0.7047
7.2507,0.7059
7.2835,0.7072
7.3163,0.7084
7.3491,0.7097
7.3819,0.7109
7.4147,0.7122
7.4475,0.7134
7.4803,0.7147
7.5131,0.7159
7.5459,0.7171
7.5787,0.7184
7.6115,0.7196
7.6444,0.7209
7.6772,0.7221
7.71,0.7234
7.7428,0.7246
7.7756,0.7258
7.8084,0.7271
7.8412,0.7283
7.874,0.7296
7.9068,0.7308
7.9396,0.7321
7.9724,0.7333
8.0052,0.7346
8.0381,0.7358
8.0709,0.737
8.1037,0.7383
8.1365,0.7395
8.1693,0.7408
8.2021,0.742
8.2349,0.7433
8.2677,0.7445
8.3005,0.7457
8.3333,0.747
8.3661,0.7482
8.399,0.7495
8.4318,0.7507
8.4646,0.752
8.4974,0.7532
8.5302,0.7545
8.563,0.7557
8.5958,0.7569
8.6286,0.7582
8.6614,0.7594
8.6942,0.7607
8.727,0.7619
8.7598,0.7632
8.7927,0.7644
8.8255,0.7656
8.8583,0.7669
8.8911,0.7681
8.9239,0.7694
8.9567,0.7706
8.9895,0.7719
9.0223,0.7731
9.0551,0.7744
9.0879,0.7756
9.1207,0.7768
9.1535,0.7781
9.1864,0.7793
9.2192,0.7806
9.252,0.7818
9.2848,0.7831
9.3176,0.7843
9.3504,0.7855
9.3832,0.7868
9.416,0.788
9.4488,0.7893
9.4816,0.7905
9.5144,0.7918
9.5472,0.793
9.5801,0.7943
9.6129,0.7955
9.6457,0.7967
9.6785,0.798
9.7113,0.7992
9.7441,0.8005
9.7769,0.8017
9.8097,0.803
9.8425,0.8042
9.8753,0.8051
9.9081,0.806
9.9409,0.8069
9.9738,0.8078
10.0066,0.8087
10.0394,0.8096
10.0722,0.8105
10.105,0.8114
