Water Depth [ft],Factor
6.168,0.7735
6.2008,0.7752
6.2336,0.777
6.2664,0.7787
6.2992,0.7805
6.332,0.7822
6.3648,0.7839
6.3976,0.7857
6.4304,0.7874
6.4633,0.7891
6.4961,0.7909
6.5289,0.7926
6.5617,0.7943
6.5945,0.7957
6.6273,0.7971
6.6601,0.7985
6.6929,0.7999
6.7257,0.8013
6.7585,0.8027
6.7913,0.8041
6.8241,0.8055
6.857,0.8069
6.8898,0.8083
6.9226,0.8097
6.9554,0.8111
6.9882,0.8125
7.021,0.8139
7.0538,0.8153
7.0866,0.8167
7.1194,0.8181
7.1522,0.8195
7.185,0.8209
7.2178,0.8223
7.2507,0.8237
7.2835,0.8251
7.3163,0.8265
7.3491,0.8279
7.3819,0.8293
7.4147,0.8307
7.4475,0.8321
7.4803,0.8335
7.5131,0.8349
7.5459,0.8363
7.5787,0.8377
7.6115,0.8391
7.6444,0.8405
7.6772,0.8419
7.71,0.8433
7.7428,0.8447
7.7756,0.8461
7.8084,0.8475
7.8412,0.8489
7.874,0.8503
7.9068,0.8517
7.9396,0.8531
7.9724,0.8545
8.0052,0.8559
8.0381,0.8573
8.0709,0.8587
8.1037,0.8601
8.1365,0.8615
8.1693,0.8629
8.2021,0.8643
8.2349,0.8657
8.2677,0.8671
8.3005,0.8685
8.3333,0.8699
8.3661,0.8713
8.399,0.8727
8.4318,0.8741
8.4646,0.8755
8.4974,0.8769
8.5302,0.8783
8.563,0.8797
8.5958,0.8811
8.6286,0.8825
8.6614,0.8839
8.6942,0.8853
8.727,0.8867
8.7598,0.8881
8.7927,0.8895
8.8255,0.8909
8.8583,0.8923
8.8911,0.8937
8.9239,0.8951
8.9567,0.8965
8.9895,0.8979
9.0223,0.8993
9.0551,0.9007
9.0879,0.9021
9.1207,0.9035
9.1535,0.9049
9.1864,0.9063
9.2192,0.9077
9.252,0.9091
9.2848,0.9105
9.3176,0.9119
9.3504,0.9133
9.3832,0.9147
9.416,0.9161
9.4488,0.9175
